数据量:1009
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0014		0.0000		876.928		1.332		0.025		0.006885		0.040
0.012		0.0045		0.0000		876.924		1.336		0.030		0.022721		0.080
0.012		0.0078		0.0000		876.921		1.339		0.030		0.039244		0.120
0.014		0.0110		0.0000		876.918		1.342		0.035		0.055080		0.160
0.016		0.0142		0.0000		876.915		1.345		0.040		0.070916		0.200
0.018		0.0176		0.0000		876.911		1.349		0.045		0.088128		0.240
0.020		0.0212		0.0000		876.908		1.352		0.050		0.106029		0.280
0.024		0.0249		0.0000		876.904		1.356		0.060		0.124618		0.320
0.026		0.0284		0.0000		876.901		1.359		0.065		0.141831		0.360
0.030		0.0315		0.0000		876.898		1.363		0.075		0.157667		0.400
0.032		0.0347		0.0000		876.894		1.366		0.080		0.173502		0.440
0.036		0.0380		0.0000		876.891		1.369		0.090		0.190026		0.480
0.038		0.0412		0.0000		876.888		1.372		0.095		0.205861		0.520
0.042		0.0443		0.0000		876.885		1.375		0.105		0.221697		0.560
0.046		0.0475		0.0000		876.882		1.379		0.115		0.237533		0.600
0.050		0.0509		0.0000		876.878		1.382		0.125		0.254745		0.640
0.054		0.0544		0.0000		876.875		1.385		0.135		0.271958		0.680
0.058		0.0581		0.0000		876.871		1.389		0.145		0.290547		0.720
0.062		0.0617		0.0000		876.867		1.393		0.155		0.308448		0.760
0.068		0.0649		0.0000		876.864		1.396		0.170		0.324284		0.800
0.074		0.0682		0.0000		876.861		1.399		0.185		0.340807		0.840
0.078		0.0713		0.0000		876.858		1.402		0.195		0.356643		0.880
0.084		0.0746		0.0000		876.854		1.406		0.210		0.373167		0.920
0.090		0.0778		0.0000		876.851		1.409		0.225		0.389003		0.960
0.096		0.0810		0.0000		876.848		1.412		0.240		0.404838		1.000
0.102		0.0843		0.0000		876.845		1.415		0.255		0.421362		1.040
0.108		0.0877		0.0000		876.841		1.419		0.270		0.438575		1.080
0.116		0.0914		0.0000		876.838		1.422		0.290		0.457164		1.120
0.124		0.0952		0.0000		876.834		1.426		0.310		0.475754		1.160
