数据量:633
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0026		0.0000		877.071		1.251		0.025		0.013081		0.040
0.010		0.0058		0.0000		877.067		1.254		0.025		0.028917		0.080
0.010		0.0090		0.0000		877.064		1.257		0.025		0.044752		0.120
0.010		0.0123		0.0000		877.061		1.260		0.025		0.061277		0.160
0.010		0.0156		0.0000		877.058		1.264		0.025		0.077801		0.200
0.010		0.0187		0.0000		877.055		1.267		0.025		0.093636		0.240
0.010		0.0219		0.0000		877.051		1.270		0.025		0.109472		0.280
0.010		0.0253		0.0000		877.048		1.273		0.025		0.126684		0.320
0.012		0.0291		0.0000		877.044		1.277		0.030		0.145273		0.360
0.012		0.0328		0.0000		877.040		1.281		0.030		0.163863		0.400
0.012		0.0361		0.0000		877.037		1.284		0.030		0.180387		0.440
0.012		0.0392		0.0000		877.034		1.287		0.030		0.196223		0.480
0.012		0.0423		0.0000		877.031		1.290		0.030		0.211369		0.520
0.014		0.0457		0.0000		877.028		1.294		0.035		0.228582		0.560
0.014		0.0489		0.0000		877.024		1.297		0.035		0.244417		0.600
0.014		0.0521		0.0000		877.021		1.300		0.035		0.260253		0.640
0.014		0.0554		0.0000		877.018		1.303		0.035		0.276777		0.680
0.016		0.0588		0.0000		877.014		1.307		0.040		0.293990		0.720
0.016		0.0624		0.0000		877.011		1.310		0.040		0.311890		0.760
0.016		0.0660		0.0000		877.007		1.314		0.040		0.329791		0.800
0.016		0.0694		0.0000		877.004		1.317		0.040		0.347004		0.840
0.018		0.0726		0.0000		877.001		1.321		0.045		0.362840		0.880
0.018		0.0757		0.0000		876.997		1.324		0.045		0.378675		0.920
0.018		0.0790		0.0000		876.994		1.327		0.045		0.395199		0.960
0.020		0.0823		0.0000		876.991		1.330		0.050		0.411723		1.000
0.020		0.0855		0.0000		876.988		1.333		0.050		0.427558		1.040
0.020		0.0887		0.0000		876.985		1.337		0.050		0.443394		1.080
0.022		0.0920		0.0000		876.981		1.340		0.055		0.459918		1.120
0.022		0.0956		0.0000		876.978		1.344		0.055		0.477819		1.160
0.022		0.0993		0.0000		876.974		1.347		0.055		0.496408		1.200
0.024		0.1029		0.0000		876.970		1.351		0.060		0.514309		1.240
0.026		0.1060		0.0000		876.967		1.354		0.065		0.530145		1.280
0.026		0.1092		0.0000		876.964		1.357		0.065		0.545980		1.320
0.026		0.1124		0.0000		876.961		1.360		0.065		0.561816		1.360
