数据量:1175
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0012		0.0000		878.314		1.847		0.025		0.006196		0.040
0.010		0.0045		0.0000		878.310		1.850		0.025		0.022721		0.080
0.010		0.0081		0.0000		878.307		1.854		0.025		0.040622		0.120
0.010		0.0117		0.0000		878.303		1.858		0.025		0.058523		0.160
0.010		0.0154		0.0000		878.299		1.861		0.025		0.077112		0.200
0.010		0.0186		0.0000		878.296		1.864		0.025		0.092947		0.240
0.012		0.0216		0.0000		878.293		1.867		0.030		0.108095		0.280
0.012		0.0251		0.0000		878.290		1.871		0.030		0.125307		0.320
0.012		0.0282		0.0000		878.287		1.874		0.030		0.141143		0.360
0.012		0.0314		0.0000		878.284		1.877		0.030		0.156978		0.400
0.012		0.0346		0.0000		878.280		1.880		0.030		0.172814		0.440
0.012		0.0379		0.0000		878.277		1.884		0.030		0.189338		0.480
0.012		0.0413		0.0000		878.274		1.887		0.030		0.206550		0.520
0.014		0.0450		0.0000		878.270		1.891		0.035		0.225140		0.560
0.014		0.0487		0.0000		878.266		1.895		0.035		0.243729		0.600
0.014		0.0519		0.0000		878.263		1.898		0.035		0.259565		0.640
0.014		0.0551		0.0000		878.260		1.901		0.035		0.275400		0.680
0.016		0.0584		0.0000		878.257		1.904		0.040		0.291924		0.720
0.016		0.0617		0.0000		878.253		1.908		0.040		0.308448		0.760
0.016		0.0649		0.0000		878.250		1.911		0.040		0.324284		0.800
0.018		0.0680		0.0000		878.247		1.914		0.045		0.340119		0.840
0.018		0.0712		0.0000		878.244		1.917		0.045		0.355955		0.880
0.020		0.0746		0.0000		878.240		1.921		0.050		0.373167		0.920
0.020		0.0782		0.0000		878.237		1.924		0.050		0.391068		0.960
0.022		0.0819		0.0000		878.233		1.928		0.055		0.409658		1.000
0.024		0.0852		0.0000		878.230		1.931		0.060		0.426182		1.040
0.024		0.0885		0.0000		878.226		1.934		0.060		0.442706		1.080
0.026		0.0918		0.0000		878.223		1.938		0.065		0.459230		1.120
0.028		0.0950		0.0000		878.220		1.941		0.070		0.475065		1.160
0.028		0.0983		0.0000		878.217		1.944		0.070		0.491589		1.200
0.030		0.1013		0.0000		878.214		1.947		0.075		0.506736		1.240
0.032		0.1045		0.0000		878.210		1.950		0.080		0.522572		1.280
0.034		0.1080		0.0000		878.207		1.954		0.085		0.539784		1.320
0.036		0.1114		0.0000		878.203		1.957		0.090		0.556996		1.360
0.038		0.1153		0.0000		878.200		1.961		0.095		0.576275		1.400
0.042		0.1187		0.0000		878.196		1.965		0.105		0.593487		1.440
0.044		0.1220		0.0000		878.193		1.968		0.110		0.610011		1.480
0.046		0.1252		0.0000		878.190		1.971		0.115		0.625847		1.520
0.050		0.1283		0.0000		878.187		1.974		0.125		0.641682		1.560
0.052		0.1315		0.0000		878.183		1.977		0.130		0.657518		1.600
0.056		0.1348		0.0000		878.180		1.981		0.140		0.674042		1.640
0.058		0.1380		0.0000		878.177		1.984		0.145		0.689877		1.680
0.062		0.1414		0.0000		878.173		1.987		0.155		0.707090		1.720
0.066		0.1447		0.0000		878.170		1.991		0.165		0.723614		1.760
0.070		0.1484		0.0000		878.166		1.994		0.175		0.742203		1.800
0.074		0.1520		0.0000		878.163		1.998		0.185		0.760104		1.840
0.080		0.1553		0.0000		878.160		2.001		0.200		0.776628		1.880
0.084		0.1585		0.0000		878.156		2.004		0.210		0.792463		1.920
0.088		0.1618		0.0000		878.153		2.008		0.220		0.808988		1.960
0.094		0.1651		0.0000		878.150		2.011		0.235		0.825512		2.000
0.098		0.1683		0.0000		878.147		2.014		0.245		0.841348		2.040
0.104		0.1714		0.0000		878.143		2.017		0.260		0.857182		2.080
0.110		0.1746		0.0000		878.140		2.020		0.275		0.873018		2.120
0.116		0.1779		0.0000		878.137		2.024		0.290		0.889543		2.160
0.122		0.1818		0.0000		878.133		2.028		0.305		0.908820		2.200
0.130		0.1853		0.0000		878.130		2.031		0.325		0.926722		2.240
0.140		0.1886		0.0000		878.126		2.035		0.350		0.943245		2.280
0.150		0.1920		0.0000		878.123		2.038		0.375		0.959769		2.320
0.158		0.1951		0.0000		878.120		2.041		0.395		0.975605		2.360
0.166		0.1983		0.0000		878.117		2.044		0.415		0.991440		2.400
0.176		0.2016		0.0000		878.113		2.047		0.440		1.007964		2.440
0.186		0.2048		0.0000		878.110		2.051		0.465		1.023800		2.480
0.196		0.2081		0.0000		878.107		2.054		0.490		1.040323		2.520
0.208		0.2114		0.0000		878.104		2.057		0.520		1.056848		2.560
0.218		0.2149		0.0000		878.100		2.061		0.545		1.074749		2.600
0.232		0.2185		0.0000		878.096		2.064		0.580		1.092650		2.640
0.244		0.2220		0.0000		878.093		2.068		0.610		1.109862		2.680
0.258		0.2254		0.0000		878.089		2.071		0.645		1.127074		2.720
0.270		0.2286		0.0000		878.086		2.074		0.675		1.142910		2.760
0.282		0.2317		0.0000		878.083		2.078		0.705		1.158746		2.800
0.294		0.2351		0.0000		878.080		2.081		0.735		1.175269		2.840
0.306		0.2382		0.0000		878.077		2.084		0.765		1.191105		2.880
0.318		0.2415		0.0000		878.073		2.087		0.795		1.207629		2.920
0.330		0.2447		0.0000		878.070		2.091		0.825		1.223465		2.960
