数据量:1430
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0032		0.0000		876.930		1.594		0.025		0.015836		0.040
0.010		0.0065		0.0000		876.926		1.597		0.025		0.032360		0.080
0.012		0.0098		0.0000		876.923		1.601		0.030		0.048884		0.120
0.012		0.0129		0.0000		876.920		1.604		0.030		0.064719		0.160
0.014		0.0161		0.0000		876.917		1.607		0.035		0.080554		0.200
0.014		0.0194		0.0000		876.913		1.610		0.035		0.097079		0.240
0.016		0.0229		0.0000		876.910		1.614		0.040		0.114291		0.280
0.018		0.0266		0.0000		876.906		1.618		0.045		0.132881		0.320
0.020		0.0303		0.0000		876.903		1.621		0.050		0.151470		0.360
0.022		0.0335		0.0000		876.899		1.624		0.055		0.167305		0.400
0.024		0.0366		0.0000		876.896		1.628		0.060		0.183141		0.440
0.026		0.0398		0.0000		876.893		1.631		0.065		0.198976		0.480
0.030		0.0431		0.0000		876.890		1.634		0.075		0.215501		0.520
0.032		0.0463		0.0000		876.887		1.637		0.080		0.231336		0.560
0.034		0.0496		0.0000		876.883		1.641		0.085		0.247860		0.600
0.038		0.0529		0.0000		876.880		1.644		0.095		0.264384		0.640
0.042		0.0562		0.0000		876.877		1.647		0.105		0.280908		0.680
0.044		0.0598		0.0000		876.873		1.651		0.110		0.298809		0.720
0.048		0.0635		0.0000		876.869		1.654		0.120		0.317399		0.760
0.054		0.0668		0.0000		876.866		1.658		0.135		0.333923		0.800
0.058		0.0701		0.0000		876.863		1.661		0.145		0.350447		0.840
0.062		0.0731		0.0000		876.860		1.664		0.155		0.365593		0.880
0.068		0.0766		0.0000		876.856		1.668		0.170		0.382806		0.920
0.072		0.0797		0.0000		876.853		1.671		0.180		0.398642		0.960
0.078		0.0829		0.0000		876.850		1.674		0.195		0.414477		1.000
0.084		0.0862		0.0000		876.847		1.677		0.210		0.431001		1.040
0.090		0.0894		0.0000		876.844		1.680		0.225		0.446837		1.080
0.096		0.0931		0.0000		876.840		1.684		0.240		0.465426		1.120
0.104		0.0968		0.0000		876.836		1.688		0.260		0.484016		1.160
0.114		0.1002		0.0000		876.833		1.691		0.285		0.501228		1.200
0.122		0.1034		0.0000		876.829		1.694		0.305		0.517064		1.240
0.132		0.1066		0.0000		876.826		1.698		0.330		0.532899		1.280
0.140		0.1099		0.0000		876.823		1.701		0.350		0.549423		1.320
0.148		0.1131		0.0000		876.820		1.704		0.370		0.565259		1.360
0.158		0.1164		0.0000		876.817		1.707		0.395		0.581782		1.400
