数据量:1066
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		876.997		1.145		0.025		0.009639		0.040
0.010		0.0051		0.0000		876.994		1.149		0.025		0.025475		0.080
0.010		0.0084		0.0000		876.991		1.152		0.025		0.041999		0.120
0.010		0.0116		0.0000		876.988		1.155		0.025		0.057834		0.160
0.012		0.0149		0.0000		876.984		1.158		0.030		0.074358		0.200
0.012		0.0182		0.0000		876.981		1.162		0.030		0.090882		0.240
0.012		0.0216		0.0000		876.978		1.165		0.030		0.108095		0.280
0.014		0.0255		0.0000		876.974		1.169		0.035		0.127373		0.320
0.014		0.0289		0.0000		876.970		1.172		0.035		0.144585		0.360
0.014		0.0322		0.0000		876.967		1.176		0.035		0.161110		0.400
0.016		0.0354		0.0000		876.964		1.179		0.040		0.176945		0.440
0.016		0.0384		0.0000		876.961		1.182		0.040		0.192092		0.480
0.018		0.0419		0.0000		876.957		1.185		0.045		0.209304		0.520
0.018		0.0450		0.0000		876.954		1.188		0.045		0.225140		0.560
0.020		0.0482		0.0000		876.951		1.192		0.050		0.240975		0.600
0.020		0.0515		0.0000		876.948		1.195		0.050		0.257499		0.640
0.022		0.0549		0.0000		876.944		1.198		0.055		0.274712		0.680
0.024		0.0587		0.0000		876.940		1.202		0.060		0.293301		0.720
0.026		0.0622		0.0000		876.937		1.206		0.065		0.311202		0.760
0.028		0.0655		0.0000		876.934		1.209		0.070		0.327726		0.800
0.030		0.0687		0.0000		876.930		1.212		0.075		0.343562		0.840
0.032		0.0720		0.0000		876.927		1.215		0.080		0.360086		0.880
0.036		0.0752		0.0000		876.924		1.219		0.090		0.375921		0.920
0.038		0.0785		0.0000		876.921		1.222		0.095		0.392445		0.960
0.042		0.0817		0.0000		876.918		1.225		0.105		0.408280		1.000
0.044		0.0848		0.0000		876.914		1.228		0.110		0.424116		1.040
0.048		0.0881		0.0000		876.911		1.232		0.120		0.440640		1.080
0.050		0.0920		0.0000		876.907		1.235		0.125		0.459918		1.120
0.056		0.0957		0.0000		876.904		1.239		0.140		0.478508		1.160
0.060		0.0990		0.0000		876.900		1.242		0.150		0.495032		1.200
0.066		0.1022		0.0000		876.897		1.246		0.165		0.510867		1.240
0.070		0.1053		0.0000		876.894		1.249		0.175		0.526703		1.280
0.074		0.1086		0.0000		876.891		1.252		0.185		0.543227		1.320
0.080		0.1118		0.0000		876.887		1.255		0.200		0.559062		1.360
0.084		0.1151		0.0000		876.884		1.259		0.210		0.575587		1.400
0.090		0.1183		0.0000		876.881		1.262		0.225		0.591422		1.440
0.096		0.1216		0.0000		876.878		1.265		0.240		0.607946		1.480
0.104		0.1252		0.0000		876.874		1.269		0.260		0.625847		1.520
