数据量:1167
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0007		0.0000		3961.959		2.952		0.025		0.003443		0.040
0.010		0.0039		0.0000		3961.956		2.955		0.025		0.019277		0.080
0.012		0.0072		0.0000		3961.953		2.958		0.030		0.035802		0.120
0.014		0.0103		0.0000		3961.950		2.961		0.035		0.051638		0.160
0.014		0.0136		0.0000		3961.946		2.965		0.035		0.068161		0.200
0.016		0.0174		0.0000		3961.943		2.968		0.040		0.086751		0.240
0.018		0.0211		0.0000		3961.939		2.972		0.045		0.105340		0.280
0.020		0.0244		0.0000		3961.936		2.975		0.050		0.121864		0.320
0.022		0.0277		0.0000		3961.932		2.979		0.055		0.138389		0.360
0.024		0.0308		0.0000		3961.929		2.982		0.060		0.154223		0.400
0.026		0.0340		0.0000		3961.926		2.985		0.065		0.170059		0.440
0.028		0.0373		0.0000		3961.923		2.988		0.070		0.186583		0.480
0.030		0.0405		0.0000		3961.919		2.991		0.075		0.202419		0.520
0.032		0.0438		0.0000		3961.916		2.995		0.080		0.218943		0.560
0.036		0.0470		0.0000		3961.913		2.998		0.090		0.234778		0.600
0.038		0.0505		0.0000		3961.909		3.001		0.095		0.252680		0.640
0.042		0.0543		0.0000		3961.906		3.005		0.105		0.271269		0.680
0.046		0.0578		0.0000		3961.902		3.009		0.115		0.289170		0.720
0.050		0.0610		0.0000		3961.899		3.012		0.125		0.305005		0.760
0.052		0.0642		0.0000		3961.896		3.015		0.130		0.320841		0.800
0.056		0.0675		0.0000		3961.893		3.018		0.140		0.337365		0.840
0.060		0.0706		0.0000		3961.889		3.022		0.150		0.353200		0.880
0.066		0.0739		0.0000		3961.886		3.025		0.165		0.369724		0.920
0.070		0.0771		0.0000		3961.883		3.028		0.175		0.385560		0.960
0.074		0.0804		0.0000		3961.880		3.031		0.185		0.402083		1.000
0.080		0.0839		0.0000		3961.876		3.035		0.200		0.419296		1.040
0.086		0.0874		0.0000		3961.873		3.038		0.215		0.437198		1.080
0.092		0.0912		0.0000		3961.869		3.042		0.230		0.455787		1.120
0.098		0.0943		0.0000		3961.866		3.045		0.245		0.471623		1.160
0.104		0.0976		0.0000		3961.862		3.049		0.260		0.488147		1.200
0.112		0.1008		0.0000		3961.859		3.052		0.280		0.503982		1.240
0.118		0.1041		0.0000		3961.856		3.055		0.295		0.520506		1.280
0.124		0.1073		0.0000		3961.853		3.058		0.310		0.536342		1.320
0.132		0.1106		0.0000		3961.849		3.061		0.330		0.552865		1.360
0.138		0.1137		0.0000		3961.846		3.065		0.345		0.568701		1.400
0.146		0.1170		0.0000		3961.843		3.068		0.365		0.585225		1.440
0.154		0.1208		0.0000		3961.839		3.072		0.385		0.603814		1.480
