数据量:1056
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0007		0.0000		876.971		2.475		0.025		0.003443		0.040
0.010		0.0039		0.0000		876.967		2.478		0.025		0.019277		0.080
0.010		0.0070		0.0000		876.964		2.481		0.025		0.035113		0.120
0.010		0.0103		0.0000		876.961		2.485		0.025		0.051637		0.160
0.012		0.0135		0.0000		876.958		2.488		0.030		0.067472		0.200
0.012		0.0167		0.0000		876.955		2.491		0.030		0.083308		0.240
0.012		0.0200		0.0000		876.951		2.494		0.030		0.099832		0.280
0.014		0.0233		0.0000		876.948		2.498		0.035		0.116357		0.320
0.014		0.0267		0.0000		876.945		2.501		0.035		0.133569		0.360
0.016		0.0303		0.0000		876.941		2.505		0.040		0.151470		0.400
0.016		0.0340		0.0000		876.937		2.508		0.040		0.170059		0.440
0.018		0.0372		0.0000		876.934		2.512		0.045		0.185895		0.480
0.020		0.0405		0.0000		876.931		2.515		0.050		0.202419		0.520
0.020		0.0438		0.0000		876.927		2.518		0.050		0.218942		0.560
0.022		0.0470		0.0000		876.924		2.521		0.055		0.234778		0.600
0.024		0.0501		0.0000		876.921		2.524		0.060		0.250614		0.640
0.028		0.0533		0.0000		876.918		2.528		0.070		0.266449		0.680
0.030		0.0566		0.0000		876.915		2.531		0.075		0.282973		0.720
0.032		0.0599		0.0000		876.911		2.534		0.080		0.299497		0.760
0.036		0.0636		0.0000		876.908		2.538		0.090		0.318086		0.800
0.040		0.0673		0.0000		876.904		2.542		0.100		0.336676		0.840
0.044		0.0706		0.0000		876.901		2.545		0.110		0.353200		0.880
0.048		0.0738		0.0000		876.897		2.548		0.120		0.369036		0.920
0.052		0.0771		0.0000		876.894		2.551		0.130		0.385560		0.960
0.056		0.0803		0.0000		876.891		2.555		0.140		0.401396		1.000
0.062		0.0834		0.0000		876.888		2.558		0.155		0.417230		1.040
0.066		0.0868		0.0000		876.884		2.561		0.165		0.433755		1.080
0.070		0.0901		0.0000		876.881		2.564		0.175		0.450279		1.120
0.076		0.0932		0.0000		876.878		2.568		0.190		0.466114		1.160
0.082		0.0968		0.0000		876.874		2.571		0.205		0.484015		1.200
0.088		0.1005		0.0000		876.871		2.575		0.220		0.502604		1.240
0.096		0.1040		0.0000		876.867		2.578		0.240		0.519817		1.280
0.102		0.1073		0.0000		876.864		2.582		0.255		0.536342		1.320
0.108		0.1104		0.0000		876.861		2.585		0.270		0.552176		1.360
0.116		0.1137		0.0000		876.857		2.588		0.290		0.568701		1.400
0.122		0.1169		0.0000		876.854		2.591		0.305		0.584536		1.440
0.130		0.1202		0.0000		876.851		2.595		0.325		0.601060		1.480
0.138		0.1234		0.0000		876.848		2.598		0.345		0.616896		1.520
0.146		0.1265		0.0000		876.845		2.601		0.365		0.632731		1.560
0.156		0.1301		0.0000		876.841		2.604		0.390		0.650632		1.600
0.164		0.1337		0.0000		876.838		2.608		0.410		0.668533		1.640
0.176		0.1374		0.0000		876.834		2.612		0.440		0.687122		1.680
0.186		0.1406		0.0000		876.831		2.615		0.465		0.702958		1.720
