数据量:891
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0000		0.0000		876.955		2.431		0.025		0.000000		0.040
0.010		0.0033		0.0000		876.952		2.434		0.025		0.016525		0.080
0.010		0.0066		0.0000		876.949		2.438		0.025		0.033048		0.120
0.012		0.0099		0.0000		876.945		2.441		0.030		0.049572		0.160
0.012		0.0135		0.0000		876.942		2.445		0.030		0.067474		0.200
0.012		0.0171		0.0000		876.938		2.448		0.030		0.085374		0.240
0.014		0.0205		0.0000		876.935		2.452		0.035		0.102587		0.280
0.014		0.0237		0.0000		876.932		2.455		0.035		0.118423		0.320
0.016		0.0269		0.0000		876.928		2.458		0.040		0.134258		0.360
0.016		0.0303		0.0000		876.925		2.461		0.040		0.151470		0.400
0.018		0.0333		0.0000		876.922		2.464		0.045		0.166618		0.440
0.018		0.0366		0.0000		876.919		2.468		0.045		0.183141		0.480
0.020		0.0399		0.0000		876.915		2.471		0.050		0.199665		0.520
0.022		0.0432		0.0000		876.912		2.474		0.055		0.216190		0.560
0.022		0.0468		0.0000		876.909		2.478		0.055		0.234090		0.600
0.026		0.0504		0.0000		876.905		2.481		0.065		0.251992		0.640
0.028		0.0540		0.0000		876.901		2.485		0.070		0.269892		0.680
0.030		0.0571		0.0000		876.898		2.488		0.075		0.285728		0.720
0.032		0.0603		0.0000		876.895		2.491		0.080		0.301564		0.760
0.034		0.0636		0.0000		876.892		2.495		0.085		0.318087		0.800
0.038		0.0668		0.0000		876.889		2.498		0.095		0.333923		0.840
0.042		0.0701		0.0000		876.885		2.501		0.105		0.350447		0.880
0.046		0.0733		0.0000		876.882		2.504		0.115		0.366282		0.920
0.050		0.0766		0.0000		876.879		2.508		0.125		0.382806		0.960
0.054		0.0800		0.0000		876.875		2.511		0.135		0.400019		1.000
0.060		0.0836		0.0000		876.872		2.515		0.150		0.417920		1.040
0.066		0.0873		0.0000		876.868		2.518		0.165		0.436510		1.080
0.072		0.0905		0.0000		876.865		2.522		0.180		0.452344		1.120
0.078		0.0938		0.0000		876.862		2.525		0.195		0.468869		1.160
0.084		0.0969		0.0000		876.858		2.528		0.210		0.484704		1.200
