数据量:1411
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		3962.002		1.913		0.025		0.009639		0.040
0.010		0.0051		0.0000		3961.999		1.916		0.025		0.025474		0.080
0.010		0.0083		0.0000		3961.996		1.919		0.025		0.041310		0.120
0.010		0.0116		0.0000		3961.992		1.922		0.025		0.057834		0.160
0.010		0.0149		0.0000		3961.989		1.926		0.025		0.074358		0.200
0.010		0.0180		0.0000		3961.986		1.929		0.025		0.090193		0.240
0.010		0.0213		0.0000		3961.983		1.932		0.025		0.106717		0.280
0.010		0.0248		0.0000		3961.979		1.936		0.025		0.123930		0.320
0.012		0.0284		0.0000		3961.976		1.939		0.030		0.141831		0.360
0.012		0.0321		0.0000		3961.972		1.943		0.030		0.160421		0.400
0.012		0.0354		0.0000		3961.969		1.946		0.030		0.176945		0.440
0.012		0.0386		0.0000		3961.965		1.949		0.030		0.192780		0.480
0.012		0.0417		0.0000		3961.962		1.953		0.030		0.208616		0.520
0.014		0.0450		0.0000		3961.959		1.956		0.035		0.225139		0.560
0.014		0.0482		0.0000		3961.956		1.959		0.035		0.240975		0.600
0.014		0.0514		0.0000		3961.953		1.962		0.035		0.256810		0.640
0.014		0.0547		0.0000		3961.949		1.966		0.035		0.273334		0.680
0.016		0.0581		0.0000		3961.946		1.969		0.040		0.290547		0.720
0.016		0.0617		0.0000		3961.942		1.973		0.040		0.308448		0.760
0.016		0.0653		0.0000		3961.939		1.976		0.040		0.326349		0.800
0.018		0.0687		0.0000		3961.935		1.980		0.045		0.343561		0.840
0.018		0.0719		0.0000		3961.932		1.983		0.045		0.359397		0.880
0.020		0.0752		0.0000		3961.929		1.986		0.050		0.375921		0.920
0.020		0.0784		0.0000		3961.926		1.989		0.050		0.391756		0.960
0.022		0.0817		0.0000		3961.922		1.993		0.055		0.408280		1.000
0.022		0.0848		0.0000		3961.919		1.996		0.055		0.424116		1.040
0.024		0.0880		0.0000		3961.916		1.999		0.060		0.439951		1.080
0.024		0.0913		0.0000		3961.913		2.002		0.060		0.456475		1.120
0.026		0.0949		0.0000		3961.909		2.006		0.065		0.474377		1.160
0.026		0.0987		0.0000		3961.905		2.010		0.065		0.493654		1.200
0.028		0.1022		0.0000		3961.902		2.013		0.070		0.510867		1.240
0.030		0.1053		0.0000		3961.899		2.016		0.075		0.526702		1.280
0.032		0.1085		0.0000		3961.896		2.019		0.080		0.542538		1.320
0.032		0.1118		0.0000		3961.892		2.023		0.080		0.559062		1.360
0.034		0.1150		0.0000		3961.889		2.026		0.085		0.574898		1.400
0.036		0.1183		0.0000		3961.886		2.029		0.090		0.591421		1.440
0.038		0.1215		0.0000		3961.883		2.032		0.095		0.607257		1.480
0.040		0.1248		0.0000		3961.879		2.036		0.100		0.623780		1.520
0.042		0.1281		0.0000		3961.876		2.039		0.105		0.640305		1.560
0.046		0.1319		0.0000		3961.872		2.043		0.115		0.659583		1.600
0.050		0.1355		0.0000		3961.868		2.046		0.125		0.677484		1.640
0.054		0.1387		0.0000		3961.865		2.050		0.135		0.693320		1.680
0.058		0.1420		0.0000		3961.862		2.053		0.145		0.709844		1.720
0.062		0.1451		0.0000		3961.859		2.056		0.155		0.725679		1.760
0.066		0.1483		0.0000		3961.856		2.059		0.165		0.741514		1.800
0.070		0.1516		0.0000		3961.852		2.062		0.175		0.758039		1.840
0.074		0.1549		0.0000		3961.849		2.066		0.185		0.774562		1.880
0.080		0.1581		0.0000		3961.846		2.069		0.200		0.790398		1.920
0.086		0.1614		0.0000		3961.843		2.072		0.215		0.806922		1.960
0.092		0.1651		0.0000		3961.839		2.076		0.230		0.825511		2.000
0.098		0.1688		0.0000		3961.835		2.080		0.245		0.844101		2.040
0.106		0.1721		0.0000		3961.832		2.083		0.265		0.860626		2.080
0.112		0.1753		0.0000		3961.829		2.086		0.280		0.876460		2.120
0.120		0.1786		0.0000		3961.825		2.089		0.300		0.892985		2.160
0.128		0.1818		0.0000		3961.822		2.093		0.320		0.908819		2.200
0.136		0.1851		0.0000		3961.819		2.096		0.340		0.925344		2.240
0.144		0.1882		0.0000		3961.816		2.099		0.360		0.941180		2.280
0.152		0.1915		0.0000		3961.812		2.102		0.380		0.957704		2.320
0.160		0.1948		0.0000		3961.809		2.106		0.400		0.974227		2.360
0.170		0.1984		0.0000		3961.805		2.109		0.425		0.992129		2.400
0.178		0.2020		0.0000		3961.802		2.113		0.445		1.010029		2.440
0.188		0.2054		0.0000		3961.799		2.116		0.470		1.027242		2.480
0.200		0.2086		0.0000		3961.795		2.119		0.500		1.043078		2.520
0.210		0.2119		0.0000		3961.792		2.123		0.525		1.059601		2.560
0.220		0.2152		0.0000		3961.789		2.126		0.550		1.076125		2.600
0.232		0.2184		0.0000		3961.786		2.129		0.580		1.091961		2.640
0.242		0.2217		0.0000		3961.782		2.133		0.605		1.108485		2.680
0.254		0.2249		0.0000		3961.779		2.136		0.635		1.124320		2.720
0.266		0.2280		0.0000		3961.776		2.139		0.665		1.140156		2.760
0.278		0.2316		0.0000		3961.772		2.142		0.695		1.158057		2.800
0.290		0.2353		0.0000		3961.769		2.146		0.725		1.176647		2.840
0.304		0.2389		0.0000		3961.765		2.150		0.760		1.194547		2.880
0.318		0.2421		0.0000		3961.762		2.153		0.795		1.210383		2.920
0.330		0.2452		0.0000		3961.759		2.156		0.825		1.226219		2.960
0.340		0.2485		0.0000		3961.755		2.159		0.850		1.242743		3.000
0.350		0.2519		0.0000		3961.752		2.163		0.875		1.259266		3.040
0.360		0.2550		0.0000		3961.749		2.166		0.900		1.275102		3.080
0.376		0.2582		0.0000		3961.746		2.169		0.940		1.290938		3.120
0.392		0.2615		0.0000		3961.742		2.172		0.980		1.307461		3.160
0.408		0.2649		0.0000		3961.739		2.176		1.020		1.324674		3.200
0.424		0.2685		0.0000		3961.735		2.179		1.060		1.342574		3.240
0.442		0.2721		0.0000		3961.732		2.183		1.105		1.360476		3.280
0.460		0.2755		0.0000		3961.729		2.186		1.150		1.377689		3.320
0.478		0.2787		0.0000		3961.725		2.190		1.195		1.393524		3.360
0.496		0.2820		0.0000		3961.722		2.193		1.240		1.410048		3.400
0.514		0.2852		0.0000		3961.719		2.196		1.285		1.425884		3.440
0.530		0.2885		0.0000		3961.715		2.199		1.325		1.442407		3.480
0.548		0.2916		0.0000		3961.712		2.203		1.370		1.458243		3.520
0.566		0.2948		0.0000		3961.709		2.206		1.415		1.474079		3.560
