数据量:1101
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		3961.950		2.766		0.025		0.009639		0.040
0.010		0.0052		0.0000		3961.947		2.769		0.025		0.026164		0.080
0.012		0.0088		0.0000		3961.943		2.773		0.030		0.044065		0.120
0.014		0.0125		0.0000		3961.939		2.777		0.035		0.062654		0.160
0.016		0.0160		0.0000		3961.936		2.780		0.040		0.079867		0.200
0.018		0.0191		0.0000		3961.933		2.783		0.045		0.095702		0.240
0.020		0.0224		0.0000		3961.929		2.787		0.050		0.112226		0.280
0.022		0.0256		0.0000		3961.926		2.790		0.055		0.128062		0.320
0.024		0.0289		0.0000		3961.923		2.793		0.060		0.144585		0.360
0.028		0.0321		0.0000		3961.920		2.796		0.070		0.160421		0.400
0.030		0.0353		0.0000		3961.917		2.799		0.075		0.176257		0.440
0.032		0.0386		0.0000		3961.913		2.803		0.080		0.192780		0.480
0.034		0.0421		0.0000		3961.910		2.806		0.085		0.210681		0.520
0.038		0.0459		0.0000		3961.906		2.810		0.095		0.229270		0.560
0.040		0.0494		0.0000		3961.902		2.814		0.100		0.247172		0.600
0.044		0.0526		0.0000		3961.899		2.817		0.110		0.263008		0.640
0.048		0.0558		0.0000		3961.896		2.820		0.120		0.278842		0.680
0.050		0.0591		0.0000		3961.893		2.823		0.125		0.295367		0.720
0.054		0.0622		0.0000		3961.890		2.826		0.135		0.311203		0.760
0.058		0.0655		0.0000		3961.886		2.830		0.145		0.327727		0.800
0.062		0.0687		0.0000		3961.883		2.833		0.155		0.343562		0.840
0.066		0.0720		0.0000		3961.880		2.836		0.165		0.360086		0.880
0.068		0.0755		0.0000		3961.876		2.840		0.170		0.377299		0.920
0.074		0.0790		0.0000		3961.873		2.843		0.185		0.395199		0.960
0.078		0.0826		0.0000		3961.869		2.847		0.195		0.413101		1.000
0.082		0.0859		0.0000		3961.866		2.850		0.205		0.429624		1.040
0.088		0.0892		0.0000		3961.863		2.853		0.220		0.446148		1.080
0.092		0.0924		0.0000		3961.859		2.857		0.230		0.461984		1.120
0.098		0.0957		0.0000		3961.856		2.860		0.245		0.478508		1.160
