数据量:1192
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0000		0.0000		878.234		0.889		0.025		0.000000		0.040
0.010		0.0034		0.0000		878.230		0.892		0.025		0.017213		0.080
0.012		0.0067		0.0000		878.227		0.895		0.030		0.033737		0.120
0.014		0.0099		0.0000		878.224		0.899		0.035		0.049572		0.160
0.016		0.0132		0.0000		878.220		0.902		0.040		0.066096		0.200
0.018		0.0164		0.0000		878.217		0.905		0.045		0.081932		0.240
0.020		0.0196		0.0000		878.214		0.908		0.050		0.097767		0.280
0.022		0.0229		0.0000		878.211		0.912		0.055		0.114291		0.320
0.024		0.0260		0.0000		878.208		0.915		0.060		0.130126		0.360
0.026		0.0296		0.0000		878.204		0.918		0.065		0.148028		0.400
0.028		0.0332		0.0000		878.201		0.922		0.070		0.165929		0.440
0.030		0.0370		0.0000		878.197		0.926		0.075		0.185207		0.480
0.034		0.0401		0.0000		878.194		0.929		0.085		0.200354		0.520
0.036		0.0432		0.0000		878.190		0.932		0.090		0.216189		0.560
0.040		0.0465		0.0000		878.187		0.935		0.100		0.232713		0.600
0.042		0.0497		0.0000		878.184		0.938		0.105		0.248548		0.640
0.046		0.0530		0.0000		878.181		0.942		0.115		0.265073		0.680
0.048		0.0562		0.0000		878.177		0.945		0.120		0.280908		0.720
0.054		0.0595		0.0000		878.174		0.948		0.135		0.297432		0.760
0.058		0.0628		0.0000		878.171		0.952		0.145		0.313956		0.800
0.062		0.0665		0.0000		878.167		0.955		0.155		0.332546		0.840
0.066		0.0701		0.0000		878.164		0.959		0.165		0.350446		0.880
0.072		0.0735		0.0000		878.160		0.962		0.180		0.367659		0.920
0.076		0.0767		0.0000		878.157		0.965		0.190		0.383494		0.960
0.082		0.0800		0.0000		878.154		0.969		0.205		0.400018		1.000
0.088		0.0832		0.0000		878.151		0.972		0.220		0.415854		1.040
0.092		0.0863		0.0000		878.147		0.975		0.230		0.431690		1.080
0.100		0.0896		0.0000		878.144		0.978		0.250		0.448214		1.120
0.106		0.0928		0.0000		878.141		0.982		0.265		0.464049		1.160
0.114		0.0961		0.0000		878.138		0.985		0.285		0.480573		1.200
0.122		0.0997		0.0000		878.134		0.988		0.305		0.498474		1.240
0.130		0.1036		0.0000		878.130		0.992		0.325		0.517752		1.280
0.140		0.1069		0.0000		878.127		0.996		0.350		0.534276		1.320
0.152		0.1102		0.0000		878.123		0.999		0.380		0.550800		1.360
0.160		0.1133		0.0000		878.120		1.002		0.400		0.566635		1.400
0.170		0.1165		0.0000		878.117		1.005		0.425		0.582471		1.440
0.180		0.1198		0.0000		878.114		1.009		0.450		0.598995		1.480
0.190		0.1231		0.0000		878.111		1.012		0.475		0.615519		1.520
0.202		0.1263		0.0000		878.107		1.015		0.505		0.631355		1.560
0.212		0.1294		0.0000		878.104		1.018		0.530		0.647190		1.600
0.224		0.1330		0.0000		878.101		1.022		0.560		0.665091		1.640
0.236		0.1367		0.0000		878.097		1.025		0.590		0.683680		1.680
0.248		0.1403		0.0000		878.093		1.029		0.620		0.701582		1.720
0.262		0.1435		0.0000		878.090		1.032		0.655		0.717417		1.760
0.274		0.1467		0.0000		878.087		1.035		0.685		0.733252		1.800
0.286		0.1500		0.0000		878.084		1.039		0.715		0.749777		1.840
0.298		0.1531		0.0000		878.081		1.042		0.745		0.765612		1.880
0.310		0.1564		0.0000		878.077		1.045		0.775		0.782136		1.920
0.322		0.1597		0.0000		878.074		1.048		0.805		0.798660		1.960
0.332		0.1629		0.0000		878.071		1.052		0.830		0.814495		2.000
0.344		0.1663		0.0000		878.067		1.055		0.860		0.831708		2.040
0.356		0.1699		0.0000		878.064		1.059		0.890		0.849609		2.080
0.368		0.1736		0.0000		878.060		1.062		0.920		0.868199		2.120
0.384		0.1768		0.0000		878.057		1.066		0.960		0.884034		2.160
0.400		0.1801		0.0000		878.054		1.069		1.000		0.900558		2.200
0.416		0.1834		0.0000		878.050		1.072		1.040		0.917082		2.240
0.430		0.1866		0.0000		878.047		1.075		1.075		0.932917		2.280
0.446		0.1898		0.0000		878.044		1.078		1.115		0.948753		2.320
0.460		0.1929		0.0000		878.041		1.082		1.150		0.964588		2.360
0.476		0.1964		0.0000		878.037		1.085		1.190		0.981801		2.400
0.490		0.1997		0.0000		878.034		1.088		1.225		0.998325		2.440
0.506		0.2032		0.0000		878.030		1.092		1.265		1.016226		2.480
0.522		0.2070		0.0000		878.027		1.096		1.305		1.034816		2.520
0.540		0.2103		0.0000		878.023		1.099		1.350		1.051340		2.560
0.560		0.2134		0.0000		878.020		1.102		1.400		1.067175		2.600
0.576		0.2167		0.0000		878.017		1.105		1.440		1.083699		2.640
0.592		0.2199		0.0000		878.014		1.109		1.480		1.099534		2.680
0.608		0.2232		0.0000		878.010		1.112		1.520		1.116059		2.720
0.624		0.2264		0.0000		878.007		1.115		1.560		1.131894		2.760
0.638		0.2297		0.0000		878.004		1.118		1.595		1.148418		2.800
0.652		0.2329		0.0000		878.001		1.122		1.630		1.164254		2.840
0.664		0.2364		0.0000		877.997		1.125		1.660		1.182155		2.880
0.680		0.2401		0.0000		877.994		1.129		1.700		1.200744		2.920
0.696		0.2437		0.0000		877.990		1.132		1.740		1.218645		2.960
0.714		0.2469		0.0000		877.987		1.136		1.785		1.234480		3.000
0.732		0.2501		0.0000		877.984		1.139		1.830		1.250316		3.040
0.748		0.2534		0.0000		877.980		1.142		1.870		1.266840		3.080
0.766		0.2567		0.0000		877.977		1.145		1.915		1.283364		3.120
0.784		0.2597		0.0000		877.974		1.148		1.960		1.298511		3.160
0.802		0.2630		0.0000		877.971		1.152		2.005		1.315035		3.200
0.820		0.2663		0.0000		877.967		1.155		2.050		1.331559		3.240
0.838		0.2696		0.0000		877.964		1.158		2.095		1.348083		3.280
0.856		0.2733		0.0000		877.960		1.162		2.140		1.366672		3.320
0.876		0.2771		0.0000		877.957		1.166		2.190		1.385262		3.360
0.896		0.2804		0.0000		877.953		1.169		2.240		1.401786		3.400
0.914		0.2835		0.0000		877.950		1.172		2.285		1.417622		3.440
0.932		0.2868		0.0000		877.947		1.176		2.330		1.434145		3.480
0.950		0.2900		0.0000		877.944		1.179		2.375		1.449981		3.520
0.968		0.2932		0.0000		877.940		1.182		2.420		1.465817		3.560
