数据量:1023
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		876.888		2.556		0.025		0.009639		0.040
0.010		0.0052		0.0000		876.884		2.559		0.025		0.026163		0.080
0.012		0.0084		0.0000		876.881		2.563		0.030		0.041999		0.120
0.012		0.0118		0.0000		876.878		2.566		0.030		0.059211		0.160
0.014		0.0153		0.0000		876.874		2.569		0.035		0.076424		0.200
0.014		0.0190		0.0000		876.871		2.573		0.035		0.095013		0.240
0.016		0.0224		0.0000		876.867		2.577		0.040		0.112226		0.280
0.018		0.0257		0.0000		876.864		2.580		0.045		0.128750		0.320
0.018		0.0289		0.0000		876.861		2.583		0.045		0.144585		0.360
0.020		0.0322		0.0000		876.857		2.586		0.050		0.161109		0.400
0.022		0.0354		0.0000		876.854		2.590		0.055		0.176945		0.440
0.024		0.0387		0.0000		876.851		2.593		0.060		0.193468		0.480
0.028		0.0417		0.0000		876.848		2.596		0.070		0.208615		0.520
0.030		0.0450		0.0000		876.845		2.599		0.075		0.225140		0.560
0.034		0.0486		0.0000		876.841		2.603		0.085		0.243040		0.600
0.036		0.0522		0.0000		876.837		2.606		0.090		0.260942		0.640
0.042		0.0559		0.0000		876.834		2.610		0.105		0.279531		0.680
0.046		0.0589		0.0000		876.831		2.613		0.115		0.294678		0.720
0.050		0.0622		0.0000		876.827		2.616		0.125		0.311202		0.760
0.056		0.0655		0.0000		876.824		2.620		0.140		0.327727		0.800
0.060		0.0689		0.0000		876.821		2.623		0.150		0.344250		0.840
0.066		0.0720		0.0000		876.818		2.626		0.165		0.360086		0.880
0.072		0.0752		0.0000		876.814		2.629		0.180		0.375921		0.920
0.078		0.0785		0.0000		876.811		2.633		0.195		0.392445		0.960
0.084		0.0818		0.0000		876.808		2.636		0.210		0.408969		1.000
0.090		0.0855		0.0000		876.804		2.640		0.225		0.427558		1.040
0.098		0.0891		0.0000		876.800		2.643		0.245		0.445460		1.080
0.106		0.0924		0.0000		876.797		2.647		0.265		0.461984		1.120
0.114		0.0957		0.0000		876.794		2.650		0.285		0.478507		1.160
0.122		0.0989		0.0000		876.791		2.653		0.305		0.494343		1.200
0.130		0.1022		0.0000		876.787		2.656		0.325		0.510867		1.240
0.140		0.1055		0.0000		876.784		2.660		0.350		0.527391		1.280
0.148		0.1085		0.0000		876.781		2.663		0.370		0.542538		1.320
0.158		0.1118		0.0000		876.778		2.666		0.395		0.559062		1.360
0.166		0.1151		0.0000		876.774		2.669		0.415		0.575587		1.400
