数据量:1301
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0006		0.0000		878.216		1.052		0.025		0.002754		0.040
0.012		0.0037		0.0000		878.213		1.055		0.030		0.018589		0.080
0.012		0.0069		0.0000		878.210		1.058		0.030		0.034425		0.120
0.014		0.0102		0.0000		878.207		1.061		0.035		0.050949		0.160
0.016		0.0139		0.0000		878.203		1.065		0.040		0.069538		0.200
0.018		0.0178		0.0000		878.199		1.069		0.045		0.088816		0.240
0.020		0.0211		0.0000		878.196		1.072		0.050		0.105340		0.280
0.022		0.0242		0.0000		878.193		1.075		0.055		0.121176		0.320
0.024		0.0274		0.0000		878.189		1.079		0.060		0.137011		0.360
0.026		0.0307		0.0000		878.186		1.082		0.065		0.153536		0.400
0.030		0.0340		0.0000		878.183		1.085		0.075		0.170059		0.440
0.032		0.0372		0.0000		878.180		1.088		0.080		0.185895		0.480
0.036		0.0403		0.0000		878.176		1.092		0.090		0.201730		0.520
0.040		0.0437		0.0000		878.173		1.095		0.100		0.218254		0.560
0.042		0.0471		0.0000		878.170		1.098		0.105		0.235467		0.600
0.046		0.0508		0.0000		878.166		1.102		0.115		0.254056		0.640
0.052		0.0544		0.0000		878.162		1.106		0.130		0.271958		0.680
0.056		0.0577		0.0000		878.159		1.109		0.140		0.288482		0.720
0.062		0.0609		0.0000		878.156		1.112		0.155		0.304317		0.760
0.066		0.0640		0.0000		878.153		1.115		0.165		0.320153		0.800
0.072		0.0673		0.0000		878.149		1.119		0.180		0.336676		0.840
0.078		0.0705		0.0000		878.146		1.122		0.195		0.352512		0.880
0.084		0.0738		0.0000		878.143		1.125		0.210		0.369036		0.920
0.090		0.0770		0.0000		878.140		1.128		0.225		0.384871		0.960
0.098		0.0804		0.0000		878.136		1.132		0.245		0.402084		1.000
0.104		0.0840		0.0000		878.133		1.135		0.260		0.419985		1.040
0.114		0.0877		0.0000		878.129		1.139		0.285		0.438575		1.080
0.122		0.0910		0.0000		878.126		1.142		0.305		0.455098		1.120
0.130		0.0943		0.0000		878.122		1.146		0.325		0.471622		1.160
0.138		0.0975		0.0000		878.119		1.149		0.345		0.487458		1.200
0.146		0.1007		0.0000		878.116		1.152		0.365		0.503293		1.240
0.156		0.1038		0.0000		878.113		1.155		0.390		0.519129		1.280
0.164		0.1071		0.0000		878.110		1.158		0.410		0.535653		1.320
0.172		0.1104		0.0000		878.106		1.162		0.430		0.552177		1.360
0.182		0.1137		0.0000		878.103		1.165		0.455		0.568701		1.400
0.192		0.1175		0.0000		878.099		1.169		0.480		0.587291		1.440
0.202		0.1209		0.0000		878.096		1.172		0.505		0.604503		1.480
0.214		0.1243		0.0000		878.092		1.176		0.535		0.621715		1.520
0.226		0.1276		0.0000		878.089		1.179		0.565		0.638239		1.560
0.236		0.1310		0.0000		878.086		1.182		0.590		0.654764		1.600
0.246		0.1341		0.0000		878.083		1.185		0.615		0.670599		1.640
0.258		0.1374		0.0000		878.079		1.189		0.645		0.687123		1.680
0.268		0.1406		0.0000		878.076		1.192		0.670		0.702959		1.720
0.278		0.1438		0.0000		878.073		1.195		0.695		0.718794		1.760
0.290		0.1469		0.0000		878.070		1.198		0.725		0.734630		1.800
0.300		0.1506		0.0000		878.066		1.202		0.750		0.753219		1.840
0.312		0.1544		0.0000		878.062		1.206		0.780		0.771809		1.880
0.326		0.1578		0.0000		878.059		1.209		0.815		0.789021		1.920
0.338		0.1610		0.0000		878.056		1.212		0.845		0.804856		1.960
0.348		0.1641		0.0000		878.053		1.215		0.870		0.820692		2.000
0.358		0.1676		0.0000		878.049		1.219		0.895		0.837904		2.040
0.370		0.1706		0.0000		878.046		1.222		0.925		0.853052		2.080
0.382		0.1739		0.0000		878.043		1.225		0.955		0.869575		2.120
0.394		0.1772		0.0000		878.040		1.228		0.985		0.886099		2.160
