数据量:1108
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		876.958		2.325		0.025		0.009639		0.040
0.010		0.0051		0.0000		876.955		2.328		0.025		0.025475		0.080
0.010		0.0084		0.0000		876.952		2.331		0.025		0.041999		0.120
0.010		0.0117		0.0000		876.949		2.334		0.025		0.058523		0.160
0.012		0.0150		0.0000		876.945		2.338		0.030		0.075047		0.200
0.012		0.0186		0.0000		876.942		2.341		0.030		0.092947		0.240
0.012		0.0223		0.0000		876.938		2.345		0.030		0.111537		0.280
0.014		0.0256		0.0000		876.935		2.348		0.035		0.128062		0.320
0.014		0.0288		0.0000		876.932		2.351		0.035		0.143898		0.360
0.014		0.0321		0.0000		876.928		2.355		0.035		0.160421		0.400
0.016		0.0354		0.0000		876.925		2.358		0.040		0.176945		0.440
0.016		0.0386		0.0000		876.922		2.361		0.040		0.192780		0.480
0.016		0.0417		0.0000		876.919		2.364		0.040		0.208616		0.520
0.018		0.0450		0.0000		876.915		2.368		0.045		0.225140		0.560
0.018		0.0483		0.0000		876.912		2.371		0.045		0.241663		0.600
0.020		0.0519		0.0000		876.908		2.374		0.050		0.259565		0.640
0.022		0.0556		0.0000		876.905		2.378		0.055		0.278155		0.680
0.024		0.0591		0.0000		876.901		2.382		0.060		0.295367		0.720
0.026		0.0622		0.0000		876.898		2.385		0.065		0.311203		0.760
0.028		0.0654		0.0000		876.895		2.388		0.070		0.327038		0.800
0.030		0.0687		0.0000		876.892		2.391		0.075		0.343562		0.840
0.032		0.0719		0.0000		876.888		2.394		0.080		0.359397		0.880
0.034		0.0752		0.0000		876.885		2.398		0.085		0.375922		0.920
0.036		0.0784		0.0000		876.882		2.401		0.090		0.391757		0.960
0.040		0.0817		0.0000		876.879		2.404		0.100		0.408281		1.000
0.042		0.0851		0.0000		876.875		2.408		0.105		0.425494		1.040
0.046		0.0888		0.0000		876.872		2.411		0.115		0.444083		1.080
0.050		0.0924		0.0000		876.868		2.415		0.125		0.461984		1.120
0.054		0.0956		0.0000		876.865		2.418		0.135		0.477819		1.160
0.058		0.0989		0.0000		876.862		2.421		0.145		0.494343		1.200
0.062		0.1020		0.0000		876.858		2.425		0.155		0.510179		1.240
0.066		0.1053		0.0000		876.855		2.428		0.165		0.526702		1.280
0.070		0.1086		0.0000		876.852		2.431		0.175		0.543227		1.320
0.074		0.1118		0.0000		876.849		2.434		0.185		0.559063		1.360
0.080		0.1150		0.0000		876.845		2.438		0.200		0.574898		1.400
0.086		0.1184		0.0000		876.842		2.441		0.215		0.592110		1.440
0.090		0.1220		0.0000		876.838		2.445		0.225		0.610012		1.480
0.098		0.1259		0.0000		876.835		2.448		0.245		0.629289		1.520
0.104		0.1290		0.0000		876.831		2.452		0.260		0.645125		1.560
0.112		0.1322		0.0000		876.828		2.455		0.280		0.660961		1.600
0.120		0.1355		0.0000		876.825		2.458		0.300		0.677484		1.640
0.126		0.1387		0.0000		876.822		2.461		0.315		0.693320		1.680
0.134		0.1420		0.0000		876.818		2.465		0.335		0.709844		1.720
0.142		0.1451		0.0000		876.815		2.468		0.355		0.725679		1.760
0.150		0.1484		0.0000		876.812		2.471		0.375		0.742203		1.800
0.160		0.1517		0.0000		876.809		2.474		0.400		0.758728		1.840
0.168		0.1553		0.0000		876.805		2.478		0.420		0.776628		1.880
0.178		0.1590		0.0000		876.801		2.482		0.445		0.795218		1.920
0.188		0.1623		0.0000		876.798		2.485		0.470		0.811743		1.960
0.200		0.1657		0.0000		876.795		2.488		0.500		0.828266		2.000
0.210		0.1688		0.0000		876.792		2.491		0.525		0.844102		2.040
0.220		0.1721		0.0000		876.788		2.495		0.550		0.860626		2.080
0.230		0.1753		0.0000		876.785		2.498		0.575		0.876461		2.120
0.240		0.1786		0.0000		876.782		2.501		0.600		0.892985		2.160
0.252		0.1818		0.0000		876.779		2.504		0.630		0.908821		2.200
0.262		0.1851		0.0000		876.775		2.508		0.655		0.925344		2.240
0.274		0.1886		0.0000		876.772		2.511		0.685		0.943246		2.280
0.286		0.1922		0.0000		876.768		2.515		0.715		0.961146		2.320
0.298		0.1958		0.0000		876.765		2.518		0.745		0.979048		2.360
0.312		0.1990		0.0000		876.761		2.522		0.780		0.994883		2.400
0.324		0.2023		0.0000		876.758		2.525		0.810		1.011407		2.440
0.334		0.2054		0.0000		876.755		2.528		0.835		1.027242		2.480
0.344		0.2088		0.0000		876.752		2.531		0.860		1.043767		2.520
0.356		0.2119		0.0000		876.748		2.535		0.890		1.059602		2.560
0.368		0.2152		0.0000		876.745		2.538		0.920		1.076126		2.600
0.380		0.2184		0.0000		876.742		2.541		0.950		1.091962		2.640
0.396		0.2218		0.0000		876.739		2.544		0.990		1.109174		2.680
0.410		0.2254		0.0000		876.735		2.548		1.025		1.127075		2.720
0.428		0.2291		0.0000		876.731		2.552		1.070		1.145664		2.760
0.446		0.2324		0.0000		876.728		2.555		1.115		1.162188		2.800
0.462		0.2356		0.0000		876.725		2.558		1.155		1.178024		2.840
0.478		0.2389		0.0000		876.721		2.561		1.195		1.194547		2.880
0.492		0.2421		0.0000		876.718		2.565		1.230		1.210383		2.920
0.508		0.2454		0.0000		876.715		2.568		1.270		1.226908		2.960
0.524		0.2485		0.0000		876.712		2.571		1.310		1.242743		3.000
0.540		0.2517		0.0000		876.709		2.574		1.350		1.258578		3.040
0.558		0.2552		0.0000		876.705		2.578		1.395		1.275791		3.080
0.574		0.2587		0.0000		876.702		2.581		1.435		1.293691		3.120
0.594		0.2625		0.0000		876.698		2.585		1.485		1.312281		3.160
0.614		0.2659		0.0000		876.694		2.588		1.535		1.329494		3.200
0.634		0.2691		0.0000		876.691		2.592		1.585		1.345329		3.240
0.650		0.2722		0.0000		876.688		2.595		1.625		1.361165		3.280
0.664		0.2755		0.0000		876.685		2.598		1.660		1.377689		3.320
0.678		0.2787		0.0000		876.682		2.601		1.695		1.393524		3.360
