数据量:1485
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0012		0.0000		876.881		1.697		0.025		0.006196		0.040
0.010		0.0045		0.0000		876.878		1.700		0.025		0.022721		0.080
0.010		0.0081		0.0000		876.874		1.704		0.025		0.040622		0.120
0.012		0.0117		0.0000		876.871		1.708		0.030		0.058523		0.160
0.014		0.0153		0.0000		876.867		1.711		0.035		0.076423		0.200
0.014		0.0185		0.0000		876.864		1.714		0.035		0.092259		0.240
0.016		0.0216		0.0000		876.861		1.718		0.040		0.108095		0.280
0.018		0.0249		0.0000		876.857		1.721		0.045		0.124618		0.320
0.020		0.0281		0.0000		876.854		1.724		0.050		0.140454		0.360
0.022		0.0314		0.0000		876.851		1.727		0.055		0.156978		0.400
0.024		0.0346		0.0000		876.848		1.730		0.060		0.172814		0.440
0.026		0.0377		0.0000		876.845		1.734		0.065		0.188649		0.480
0.028		0.0414		0.0000		876.841		1.737		0.070		0.207239		0.520
0.032		0.0450		0.0000		876.837		1.741		0.080		0.225140		0.560
0.036		0.0487		0.0000		876.834		1.745		0.090		0.243729		0.600
0.040		0.0519		0.0000		876.830		1.748		0.100		0.259565		0.640
0.044		0.0551		0.0000		876.827		1.751		0.110		0.275400		0.680
0.048		0.0582		0.0000		876.824		1.754		0.120		0.291235		0.720
0.054		0.0616		0.0000		876.821		1.757		0.135		0.307760		0.760
0.058		0.0649		0.0000		876.818		1.761		0.145		0.324284		0.800
0.064		0.0680		0.0000		876.814		1.764		0.160		0.340119		0.840
0.070		0.0712		0.0000		876.811		1.767		0.175		0.355955		0.880
0.076		0.0746		0.0000		876.808		1.771		0.190		0.373167		0.920
0.082		0.0784		0.0000		876.804		1.774		0.205		0.391756		0.960
0.090		0.0819		0.0000		876.800		1.778		0.225		0.409657		1.000
0.098		0.0852		0.0000		876.797		1.781		0.245		0.426182		1.040
0.106		0.0884		0.0000		876.794		1.784		0.265		0.442017		1.080
0.114		0.0917		0.0000		876.791		1.788		0.285		0.458541		1.120
0.122		0.0949		0.0000		876.787		1.791		0.305		0.474377		1.160
0.130		0.0982		0.0000		876.784		1.794		0.325		0.490900		1.200
0.140		0.1015		0.0000		876.781		1.797		0.350		0.507424		1.240
0.150		0.1045		0.0000		876.778		1.800		0.375		0.522572		1.280
0.158		0.1080		0.0000		876.774		1.804		0.395		0.539784		1.320
0.170		0.1117		0.0000		876.771		1.808		0.425		0.558373		1.360
0.182		0.1153		0.0000		876.767		1.811		0.455		0.576274		1.400
0.194		0.1187		0.0000		876.764		1.815		0.485		0.593487		1.440
0.208		0.1219		0.0000		876.760		1.818		0.520		0.609323		1.480
0.220		0.1252		0.0000		876.757		1.821		0.550		0.625846		1.520
0.232		0.1283		0.0000		876.754		1.824		0.580		0.641682		1.560
0.244		0.1315		0.0000		876.751		1.827		0.610		0.657517		1.600
0.258		0.1348		0.0000		876.747		1.831		0.645		0.674042		1.640
0.270		0.1380		0.0000		876.744		1.834		0.675		0.689877		1.680
0.284		0.1413		0.0000		876.741		1.837		0.710		0.706401		1.720
0.296		0.1449		0.0000		876.737		1.841		0.740		0.724302		1.760
0.310		0.1484		0.0000		876.734		1.844		0.775		0.742203		1.800
0.324		0.1520		0.0000		876.730		1.848		0.810		0.760104		1.840
0.340		0.1552		0.0000		876.727		1.851		0.850		0.775940		1.880
0.354		0.1585		0.0000		876.724		1.854		0.885		0.792463		1.920
0.366		0.1618		0.0000		876.721		1.858		0.915		0.808988		1.960
0.380		0.1650		0.0000		876.717		1.861		0.950		0.824823		2.000
0.394		0.1683		0.0000		876.714		1.864		0.985		0.841347		2.040
0.412		0.1714		0.0000		876.711		1.867		1.030		0.857183		2.080
0.430		0.1746		0.0000		876.708		1.871		1.075		0.873018		2.120
0.450		0.1782		0.0000		876.704		1.874		1.125		0.890919		2.160
0.468		0.1818		0.0000		876.701		1.878		1.170		0.908820		2.200
0.488		0.1855		0.0000		876.697		1.881		1.220		0.927410		2.240
0.510		0.1886		0.0000		876.694		1.885		1.275		0.943245		2.280
0.530		0.1920		0.0000		876.690		1.888		1.325		0.959769		2.320
0.550		0.1951		0.0000		876.687		1.891		1.375		0.975605		2.360
0.568		0.1984		0.0000		876.684		1.894		1.420		0.992129		2.400
0.588		0.2016		0.0000		876.681		1.898		1.470		1.007964		2.440
0.606		0.2048		0.0000		876.678		1.901		1.515		1.023800		2.480
0.622		0.2081		0.0000		876.674		1.904		1.555		1.040323		2.520
0.638		0.2114		0.0000		876.671		1.907		1.595		1.056848		2.560
0.652		0.2149		0.0000		876.667		1.911		1.630		1.074749		2.600
0.668		0.2187		0.0000		876.664		1.915		1.670		1.093338		2.640
0.686		0.2220		0.0000		876.660		1.918		1.715		1.109862		2.680
0.706		0.2253		0.0000		876.657		1.921		1.765		1.126386		2.720
0.726		0.2286		0.0000		876.654		1.924		1.815		1.142910		2.760
0.744		0.2317		0.0000		876.651		1.928		1.860		1.158745		2.800
0.764		0.2351		0.0000		876.647		1.931		1.910		1.175269		2.840
0.782		0.2382		0.0000		876.644		1.934		1.955		1.191105		2.880
0.802		0.2414		0.0000		876.641		1.937		2.005		1.206940		2.920
0.822		0.2447		0.0000		876.638		1.941		2.055		1.223465		2.960
0.842		0.2483		0.0000		876.634		1.944		2.105		1.241366		3.000
0.864		0.2519		0.0000		876.630		1.948		2.160		1.259267		3.040
0.886		0.2556		0.0000		876.627		1.951		2.215		1.277856		3.080
0.910		0.2587		0.0000		876.624		1.955		2.275		1.293691		3.120
0.934		0.2619		0.0000		876.620		1.958		2.335		1.309527		3.160
