数据量:671
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0000		0.0000		3962.046		2.833		0.025		0.000000		0.040
0.010		0.0036		0.0000		3962.043		2.837		0.025		0.017902		0.080
0.010		0.0070		0.0000		3962.039		2.840		0.025		0.035114		0.120
0.010		0.0102		0.0000		3962.036		2.844		0.025		0.050949		0.160
0.010		0.0135		0.0000		3962.033		2.847		0.025		0.067474		0.200
0.010		0.0167		0.0000		3962.030		2.850		0.025		0.083309		0.240
0.010		0.0198		0.0000		3962.027		2.853		0.025		0.099144		0.280
0.010		0.0231		0.0000		3962.023		2.856		0.025		0.115669		0.320
0.010		0.0264		0.0000		3962.020		2.860		0.025		0.132192		0.360
0.010		0.0297		0.0000		3962.017		2.863		0.025		0.148716		0.400
0.010		0.0332		0.0000		3962.013		2.867		0.025		0.165929		0.440
0.010		0.0368		0.0000		3962.010		2.870		0.025		0.183830		0.480
0.010		0.0405		0.0000		3962.006		2.874		0.025		0.202420		0.520
0.010		0.0438		0.0000		3962.002		2.877		0.025		0.218943		0.560
0.012		0.0470		0.0000		3961.999		2.880		0.030		0.234779		0.600
0.012		0.0500		0.0000		3961.996		2.883		0.030		0.249926		0.640
0.012		0.0533		0.0000		3961.993		2.887		0.030		0.266449		0.680
0.012		0.0566		0.0000		3961.990		2.890		0.030		0.282974		0.720
0.012		0.0598		0.0000		3961.987		2.893		0.030		0.298810		0.760
0.012		0.0631		0.0000		3961.983		2.896		0.030		0.315334		0.800
0.012		0.0665		0.0000		3961.980		2.900		0.030		0.332546		0.840
0.012		0.0701		0.0000		3961.976		2.903		0.030		0.350447		0.880
0.012		0.0738		0.0000		3961.972		2.907		0.030		0.369036		0.920
0.012		0.0771		0.0000		3961.969		2.910		0.030		0.385561		0.960
0.012		0.0803		0.0000		3961.966		2.914		0.030		0.401396		1.000
0.012		0.0834		0.0000		3961.963		2.917		0.030		0.417231		1.040
0.012		0.0868		0.0000		3961.959		2.920		0.030		0.433755		1.080
0.012		0.0899		0.0000		3961.956		2.923		0.030		0.449591		1.120
0.012		0.0932		0.0000		3961.953		2.927		0.030		0.466115		1.160
0.014		0.0965		0.0000		3961.950		2.930		0.035		0.482639		1.200
0.014		0.0998		0.0000		3961.947		2.933		0.035		0.499163		1.240
0.014		0.1034		0.0000		3961.943		2.937		0.035		0.517064		1.280
0.014		0.1070		0.0000		3961.939		2.940		0.035		0.534965		1.320
0.014		0.1104		0.0000		3961.936		2.944		0.035		0.552177		1.360
0.014		0.1137		0.0000		3961.933		2.947		0.035		0.568701		1.400
0.014		0.1169		0.0000		3961.929		2.950		0.035		0.584537		1.440
0.016		0.1201		0.0000		3961.926		2.953		0.040		0.600373		1.480
0.016		0.1234		0.0000		3961.923		2.957		0.040		0.616896		1.520
0.016		0.1265		0.0000		3961.920		2.960		0.040		0.632732		1.560
0.016		0.1299		0.0000		3961.917		2.963		0.040		0.649256		1.600
0.018		0.1330		0.0000		3961.913		2.966		0.045		0.665091		1.640
0.018		0.1366		0.0000		3961.910		2.970		0.045		0.682993		1.680
0.018		0.1403		0.0000		3961.906		2.974		0.045		0.701582		1.720
0.020		0.1439		0.0000		3961.902		2.977		0.050		0.719483		1.760
0.020		0.1471		0.0000		3961.899		2.980		0.050		0.735319		1.800
0.022		0.1502		0.0000		3961.896		2.984		0.055		0.751154		1.840
0.022		0.1535		0.0000		3961.893		2.987		0.055		0.767678		1.880
0.024		0.1568		0.0000		3961.889		2.990		0.060		0.784202		1.920
0.026		0.1600		0.0000		3961.886		2.993		0.065		0.800037		1.960
0.026		0.1632		0.0000		3961.883		2.996		0.065		0.815873		2.000
0.028		0.1665		0.0000		3961.880		3.000		0.070		0.832397		2.040
0.030		0.1699		0.0000		3961.876		3.003		0.075		0.849609		2.080
0.032		0.1735		0.0000		3961.873		3.007		0.080		0.867510		2.120
0.034		0.1772		0.0000		3961.869		3.011		0.085		0.886099		2.160
0.036		0.1805		0.0000		3961.866		3.014		0.090		0.902624		2.200
0.038		0.1837		0.0000		3961.863		3.017		0.095		0.918460		2.240
0.042		0.1870		0.0000		3961.859		3.020		0.105		0.934983		2.280
0.044		0.1902		0.0000		3961.856		3.023		0.110		0.950819		2.320
0.046		0.1935		0.0000		3961.853		3.027		0.115		0.967343		2.360
0.048		0.1966		0.0000		3961.850		3.030		0.120		0.983179		2.400
0.052		0.1999		0.0000		3961.846		3.033		0.130		0.999702		2.440
0.054		0.2031		0.0000		3961.843		3.036		0.135		1.015538		2.480
0.058		0.2068		0.0000		3961.840		3.040		0.145		1.034127		2.520
0.062		0.2105		0.0000		3961.836		3.044		0.155		1.052717		2.560
0.066		0.2138		0.0000		3961.833		3.047		0.165		1.069241		2.600
0.070		0.2170		0.0000		3961.829		3.050		0.175		1.085076		2.640
0.076		0.2203		0.0000		3961.826		3.054		0.190		1.101600		2.680
0.082		0.2236		0.0000		3961.823		3.057		0.205		1.118125		2.720
0.088		0.2268		0.0000		3961.820		3.060		0.220		1.133960		2.760
0.094		0.2300		0.0000		3961.816		3.063		0.235		1.149795		2.800
0.102		0.2333		0.0000		3961.813		3.067		0.255		1.166320		2.840
0.110		0.2366		0.0000		3961.810		3.070		0.275		1.182843		2.880
0.118		0.2400		0.0000		3961.806		3.073		0.295		1.200056		2.920
0.128		0.2437		0.0000		3961.802		3.077		0.320		1.218646		2.960
0.138		0.2472		0.0000		3961.799		3.080		0.345		1.235858		3.000
0.150		0.2505		0.0000		3961.796		3.084		0.375		1.252382		3.040
0.162		0.2536		0.0000		3961.793		3.087		0.405		1.268218		3.080
0.172		0.2569		0.0000		3961.789		3.090		0.430		1.284741		3.120
0.184		0.2603		0.0000		3961.786		3.094		0.460		1.301266		3.160
0.196		0.2634		0.0000		3961.783		3.097		0.490		1.317101		3.200
0.208		0.2666		0.0000		3961.780		3.100		0.520		1.332936		3.240
0.220		0.2699		0.0000		3961.776		3.103		0.550		1.349460		3.280
0.234		0.2733		0.0000		3961.773		3.107		0.585		1.366673		3.320
0.248		0.2771		0.0000		3961.769		3.110		0.620		1.385262		3.360
0.262		0.2806		0.0000		3961.766		3.114		0.655		1.403164		3.400
0.276		0.2838		0.0000		3961.762		3.117		0.690		1.418999		3.440
0.290		0.2871		0.0000		3961.759		3.120		0.725		1.435523		3.480
0.304		0.2903		0.0000		3961.756		3.124		0.760		1.451359		3.520
0.316		0.2936		0.0000		3961.753		3.127		0.790		1.467882		3.560
0.328		0.2967		0.0000		3961.750		3.130		0.820		1.483718		3.600
0.342		0.3000		0.0000		3961.746		3.133		0.855		1.500242		3.640
0.354		0.3032		0.0000		3961.743		3.137		0.885		1.516078		3.680
0.368		0.3065		0.0000		3961.740		3.140		0.920		1.532601		3.720
0.382		0.3101		0.0000		3961.736		3.143		0.955		1.550503		3.760
0.398		0.3138		0.0000		3961.732		3.147		0.995		1.569092		3.800
0.416		0.3173		0.0000		3961.729		3.151		1.040		1.586305		3.840
0.436		0.3206		0.0000		3961.726		3.154		1.090		1.602829		3.880
0.454		0.3237		0.0000		3961.723		3.157		1.135		1.618664		3.920
0.472		0.3269		0.0000		3961.719		3.160		1.180		1.634499		3.960
0.490		0.3302		0.0000		3961.716		3.164		1.225		1.651024		4.000
0.508		0.3334		0.0000		3961.713		3.167		1.270		1.666859		4.040
0.524		0.3367		0.0000		3961.710		3.170		1.310		1.683383		4.080
0.542		0.3398		0.0000		3961.707		3.173		1.355		1.699219		4.120
0.558		0.3436		0.0000		3961.703		3.177		1.395		1.717808		4.160
0.576		0.3471		0.0000		3961.699		3.180		1.440		1.735709		4.200
0.594		0.3507		0.0000		3961.696		3.184		1.485		1.753610		4.240
0.610		0.3539		0.0000		3961.692		3.187		1.525		1.769445		4.280
0.626		0.3571		0.0000		3961.689		3.190		1.565		1.785281		4.320
0.638		0.3604		0.0000		3961.686		3.194		1.595		1.801805		4.360
0.652		0.3637		0.0000		3961.683		3.197		1.630		1.818329		4.400
0.668		0.3668		0.0000		3961.679		3.200		1.670		1.834165		4.440
0.684		0.3700		0.0000		3961.676		3.203		1.710		1.849999		4.480
0.702		0.3733		0.0000		3961.673		3.207		1.755		1.866524		4.520
0.720		0.3767		0.0000		3961.670		3.210		1.800		1.883737		4.560
0.738		0.3803		0.0000		3961.666		3.214		1.845		1.901637		4.600
0.756		0.3840		0.0000		3961.662		3.217		1.890		1.920227		4.640
0.776		0.3874		0.0000		3961.659		3.221		1.940		1.936750		4.680
0.794		0.3905		0.0000		3961.656		3.224		1.985		1.952586		4.720
0.814		0.3937		0.0000		3961.653		3.227		2.035		1.968422		4.760
0.832		0.3970		0.0000		3961.649		3.230		2.080		1.984946		4.800
0.850		0.4003		0.0000		3961.646		3.234		2.125		2.001470		4.840
0.868		0.4035		0.0000		3961.643		3.237		2.170		2.017305		4.880
0.888		0.4066		0.0000		3961.640		3.240		2.220		2.033141		4.920
0.906		0.4101		0.0000		3961.636		3.243		2.265		2.050353		4.960
0.926		0.4137		0.0000		3961.633		3.247		2.315		2.068255		5.000
