数据量:1155
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0007		0.0000		876.949		2.386		0.025		0.003443		0.040
0.010		0.0040		0.0000		876.945		2.389		0.025		0.019966		0.080
0.010		0.0077		0.0000		876.942		2.393		0.025		0.038556		0.120
0.012		0.0113		0.0000		876.938		2.397		0.030		0.056456		0.160
0.012		0.0146		0.0000		876.935		2.400		0.030		0.072981		0.200
0.014		0.0179		0.0000		876.931		2.403		0.035		0.089505		0.240
0.016		0.0211		0.0000		876.928		2.406		0.040		0.105340		0.280
0.016		0.0244		0.0000		876.925		2.410		0.040		0.121864		0.320
0.018		0.0275		0.0000		876.922		2.413		0.045		0.137700		0.360
0.020		0.0307		0.0000		876.919		2.416		0.050		0.153536		0.400
0.022		0.0340		0.0000		876.915		2.419		0.055		0.170059		0.440
0.024		0.0373		0.0000		876.912		2.423		0.060		0.186583		0.480
0.026		0.0409		0.0000		876.908		2.426		0.065		0.204484		0.520
0.028		0.0446		0.0000		876.905		2.430		0.070		0.223074		0.560
0.030		0.0481		0.0000		876.901		2.433		0.075		0.240287		0.600
0.034		0.0512		0.0000		876.898		2.437		0.085		0.256121		0.640
0.036		0.0545		0.0000		876.895		2.440		0.090		0.272646		0.680
0.038		0.0577		0.0000		876.892		2.443		0.095		0.288482		0.720
0.042		0.0610		0.0000		876.888		2.446		0.105		0.305005		0.760
0.044		0.0643		0.0000		876.885		2.450		0.110		0.321529		0.800
0.048		0.0675		0.0000		876.882		2.453		0.120		0.337365		0.840
0.052		0.0706		0.0000		876.879		2.456		0.130		0.353200		0.880
0.056		0.0742		0.0000		876.875		2.460		0.140		0.371101		0.920
0.060		0.0778		0.0000		876.872		2.463		0.150		0.389003		0.960
0.066		0.0814		0.0000		876.868		2.467		0.165		0.406903		1.000
0.072		0.0847		0.0000		876.865		2.470		0.180		0.423428		1.040
0.076		0.0879		0.0000		876.862		2.473		0.190		0.439262		1.080
0.082		0.0912		0.0000		876.858		2.477		0.205		0.455787		1.120
0.088		0.0943		0.0000		876.855		2.480		0.220		0.471622		1.160
0.094		0.0976		0.0000		876.852		2.483		0.235		0.488147		1.200
0.100		0.1008		0.0000		876.849		2.486		0.250		0.503982		1.240
0.106		0.1040		0.0000		876.845		2.489		0.265		0.519817		1.280
0.112		0.1074		0.0000		876.842		2.493		0.280		0.537030		1.320
0.120		0.1111		0.0000		876.838		2.497		0.300		0.555619		1.360
0.130		0.1148		0.0000		876.834		2.500		0.325		0.574208		1.400
0.138		0.1180		0.0000		876.831		2.503		0.345		0.590044		1.440
0.148		0.1213		0.0000		876.828		2.507		0.370		0.606568		1.480
0.156		0.1245		0.0000		876.825		2.510		0.390		0.622404		1.520
0.166		0.1278		0.0000		876.822		2.513		0.415		0.638927		1.560
0.174		0.1310		0.0000		876.818		2.516		0.435		0.654763		1.600
0.184		0.1343		0.0000		876.815		2.520		0.460		0.671288		1.640
0.196		0.1374		0.0000		876.812		2.523		0.490		0.687122		1.680
0.206		0.1407		0.0000		876.809		2.526		0.515		0.703647		1.720
0.216		0.1444		0.0000		876.805		2.530		0.540		0.722237		1.760
0.228		0.1480		0.0000		876.801		2.533		0.570		0.740137		1.800
0.240		0.1513		0.0000		876.798		2.537		0.600		0.756661		1.840
0.254		0.1546		0.0000		876.795		2.540		0.635		0.773185		1.880
0.264		0.1579		0.0000		876.791		2.543		0.660		0.789709		1.920
0.276		0.1611		0.0000		876.788		2.546		0.690		0.805545		1.960
0.288		0.1644		0.0000		876.785		2.550		0.720		0.822068		2.000
0.298		0.1676		0.0000		876.782		2.553		0.745		0.837904		2.040
0.310		0.1707		0.0000		876.779		2.556		0.775		0.853740		2.080
0.320		0.1741		0.0000		876.775		2.559		0.800		0.870264		2.120
0.332		0.1778		0.0000		876.772		2.563		0.830		0.888853		2.160
0.344		0.1812		0.0000		876.768		2.567		0.860		0.906066		2.200
0.358		0.1848		0.0000		876.765		2.570		0.895		0.923966		2.240
0.372		0.1881		0.0000		876.761		2.573		0.930		0.940491		2.280
0.386		0.1913		0.0000		876.758		2.577		0.965		0.956327		2.320
0.402		0.1944		0.0000		876.755		2.580		1.005		0.972161		2.360
0.418		0.1977		0.0000		876.752		2.583		1.045		0.988686		2.400
0.434		0.2010		0.0000		876.748		2.586		1.085		1.005210		2.440
0.450		0.2042		0.0000		876.745		2.590		1.125		1.021045		2.480
0.466		0.2074		0.0000		876.742		2.593		1.165		1.036881		2.520
0.482		0.2108		0.0000		876.739		2.596		1.205		1.054093		2.560
0.500		0.2145		0.0000		876.735		2.600		1.250		1.072682		2.600
0.520		0.2181		0.0000		876.731		2.603		1.300		1.090584		2.640
0.540		0.2216		0.0000		876.728		2.607		1.350		1.107796		2.680
0.558		0.2247		0.0000		876.725		2.610		1.395		1.123632		2.720
0.576		0.2279		0.0000		876.721		2.613		1.440		1.139467		2.760
0.594		0.2312		0.0000		876.718		2.617		1.485		1.155992		2.800
0.610		0.2345		0.0000		876.715		2.620		1.525		1.172515		2.840
0.628		0.2377		0.0000		876.712		2.623		1.570		1.188351		2.880
0.646		0.2408		0.0000		876.708		2.626		1.615		1.204187		2.920
0.662		0.2441		0.0000		876.705		2.630		1.655		1.220710		2.960
0.678		0.2477		0.0000		876.702		2.633		1.695		1.238611		3.000
0.692		0.2516		0.0000		876.698		2.637		1.730		1.257889		3.040
0.710		0.2549		0.0000		876.694		2.640		1.775		1.274413		3.080
0.726		0.2580		0.0000		876.691		2.643		1.815		1.290249		3.120
0.740		0.2612		0.0000		876.688		2.647		1.850		1.306084		3.160
0.756		0.2647		0.0000		876.685		2.650		1.890		1.323297		3.200
0.774		0.2678		0.0000		876.682		2.653		1.935		1.339133		3.240
0.792		0.2710		0.0000		876.678		2.656		1.980		1.354967		3.280
0.808		0.2742		0.0000		876.675		2.660		2.020		1.370803		3.320
0.826		0.2776		0.0000		876.672		2.663		2.065		1.388016		3.360
0.842		0.2810		0.0000		876.668		2.666		2.105		1.405228		3.400
0.862		0.2846		0.0000		876.665		2.670		2.155		1.423129		3.440
0.882		0.2882		0.0000		876.661		2.674		2.205		1.441031		3.480
0.902		0.2915		0.0000		876.658		2.677		2.255		1.457554		3.520
0.920		0.2947		0.0000		876.655		2.680		2.300		1.473390		3.560
0.938		0.2978		0.0000		876.651		2.683		2.345		1.489226		3.600
0.958		0.3013		0.0000		876.648		2.687		2.395		1.506438		3.640
0.976		0.3045		0.0000		876.645		2.690		2.440		1.522273		3.680
0.996		0.3076		0.0000		876.642		2.693		2.490		1.538109		3.720
1.016		0.3109		0.0000		876.638		2.696		2.540		1.554632		3.760
1.036		0.3142		0.0000		876.635		2.700		2.590		1.571157		3.800
1.058		0.3179		0.0000		876.631		2.703		2.645		1.589746		3.840
1.082		0.3217		0.0000		876.628		2.707		2.705		1.608336		3.880
1.106		0.3248		0.0000		876.625		2.710		2.765		1.624172		3.920
1.128		0.3281		0.0000		876.621		2.714		2.820		1.640695		3.960
1.148		0.3313		0.0000		876.618		2.717		2.870		1.656531		4.000
1.170		0.3346		0.0000		876.615		2.720		2.925		1.673055		4.040
1.192		0.3378		0.0000		876.612		2.723		2.980		1.688890		4.080
1.216		0.3411		0.0000		876.608		2.726		3.040		1.705414		4.120
1.240		0.3442		0.0000		876.605		2.730		3.100		1.721250		4.160
1.264		0.3476		0.0000		876.602		2.733		3.160		1.737773		4.200
1.288		0.3511		0.0000		876.598		2.737		3.220		1.755675		4.240
1.314		0.3549		0.0000		876.594		2.740		3.285		1.774265		4.280
1.342		0.3583		0.0000		876.591		2.744		3.355		1.791477		4.320
1.370		0.3616		0.0000		876.588		2.747		3.425		1.808001		4.360
1.396		0.3646		0.0000		876.585		2.750		3.490		1.823148		4.400
1.420		0.3679		0.0000		876.581		2.753		3.550		1.839672		4.440
1.446		0.3712		0.0000		876.578		2.757		3.615		1.856196		4.480
1.472		0.3744		0.0000		876.575		2.760		3.680		1.872032		4.520
1.498		0.3776		0.0000		876.572		2.763		3.745		1.887866		4.560
1.524		0.3807		0.0000		876.569		2.766		3.810		1.903702		4.600
1.550		0.3843		0.0000		876.565		2.770		3.875		1.921604		4.640
1.578		0.3882		0.0000		876.561		2.774		3.945		1.940881		4.680
1.608		0.3918		0.0000		876.558		2.777		4.020		1.958783		4.720
1.638		0.3949		0.0000		876.554		2.780		4.095		1.974617		4.760
1.666		0.3981		0.0000		876.551		2.783		4.165		1.990453		4.800
1.692		0.4013		0.0000		876.548		2.787		4.230		2.006289		4.840
1.718		0.4046		0.0000		876.545		2.790		4.295		2.022812		4.880
1.746		0.4077		0.0000		876.542		2.793		4.365		2.038648		4.920
1.772		0.4110		0.0000		876.538		2.796		4.430		2.055172		4.960
1.798		0.4142		0.0000		876.535		2.800		4.495		2.071007		5.000
1.824		0.4176		0.0000		876.532		2.803		4.560		2.088220		5.040
1.852		0.4215		0.0000		876.528		2.807		4.630		2.107499		5.080
1.884		0.4251		0.0000		876.524		2.810		4.710		2.125399		5.120
1.914		0.4284		0.0000		876.521		2.814		4.785		2.141923		5.160
1.942		0.4314		0.0000		876.518		2.817		4.855		2.157071		5.200
1.970		0.4347		0.0000		876.515		2.820		4.925		2.173594		5.240
1.996		0.4379		0.0000		876.511		2.823		4.990		2.189430		5.280
2.022		0.4412		0.0000		876.508		2.827		5.055		2.205954		5.320
2.050		0.4444		0.0000		876.505		2.830		5.125		2.221789		5.360
2.076		0.4475		0.0000		876.502		2.833		5.190		2.237625		5.400
2.102		0.4510		0.0000		876.498		2.836		5.255		2.254838		5.440
2.130		0.4547		0.0000		876.495		2.840		5.325		2.273427		5.480
2.160		0.4584		0.0000		876.491		2.844		5.400		2.292017		5.520
2.194		0.4618		0.0000		876.487		2.847		5.485		2.309228		5.560
2.224		0.4649		0.0000		876.484		2.850		5.560		2.324376		5.600
2.250		0.4680		0.0000		876.481		2.853		5.625		2.340211		5.640
