数据量:687
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		3962.039		2.230		0.025		0.009638		0.040
0.010		0.0051		0.0000		3962.035		2.233		0.025		0.025474		0.080
0.010		0.0083		0.0000		3962.032		2.236		0.025		0.041310		0.120
0.010		0.0116		0.0000		3962.029		2.240		0.025		0.057833		0.160
0.010		0.0149		0.0000		3962.026		2.243		0.025		0.074358		0.200
0.010		0.0180		0.0000		3962.022		2.246		0.025		0.090193		0.240
0.010		0.0212		0.0000		3962.019		2.249		0.025		0.106028		0.280
0.010		0.0246		0.0000		3962.016		2.253		0.025		0.123241		0.320
0.012		0.0281		0.0000		3962.012		2.256		0.030		0.140454		0.360
0.012		0.0318		0.0000		3962.009		2.260		0.030		0.159043		0.400
0.012		0.0353		0.0000		3962.005		2.263		0.030		0.176256		0.440
0.012		0.0386		0.0000		3962.002		2.267		0.030		0.192779		0.480
0.012		0.0417		0.0000		3961.999		2.270		0.030		0.208615		0.520
0.012		0.0450		0.0000		3961.996		2.273		0.030		0.225139		0.560
0.012		0.0482		0.0000		3961.992		2.276		0.030		0.240974		0.600
0.014		0.0515		0.0000		3961.989		2.279		0.035		0.257498		0.640
0.014		0.0547		0.0000		3961.986		2.283		0.035		0.273334		0.680
0.014		0.0578		0.0000		3961.983		2.286		0.035		0.289170		0.720
0.014		0.0614		0.0000		3961.979		2.289		0.035		0.307070		0.760
0.014		0.0650		0.0000		3961.976		2.293		0.035		0.324972		0.800
0.016		0.0687		0.0000		3961.972		2.297		0.040		0.343561		0.840
0.016		0.0720		0.0000		3961.969		2.300		0.040		0.360085		0.880
0.016		0.0752		0.0000		3961.965		2.303		0.040		0.375921		0.920
0.016		0.0784		0.0000		3961.962		2.306		0.040		0.391756		0.960
0.018		0.0817		0.0000		3961.959		2.310		0.045		0.408280		1.000
0.018		0.0848		0.0000		3961.956		2.313		0.045		0.424116		1.040
0.018		0.0881		0.0000		3961.952		2.316		0.045		0.440639		1.080
0.018		0.0913		0.0000		3961.949		2.319		0.045		0.456475		1.120
0.020		0.0947		0.0000		3961.946		2.323		0.050		0.473688		1.160
0.020		0.0983		0.0000		3961.942		2.326		0.050		0.491588		1.200
0.020		0.1019		0.0000		3961.939		2.330		0.050		0.509490		1.240
0.022		0.1053		0.0000		3961.935		2.333		0.055		0.526702		1.280
0.022		0.1085		0.0000		3961.932		2.336		0.055		0.542538		1.320
0.022		0.1118		0.0000		3961.929		2.340		0.055		0.559062		1.360
0.022		0.1150		0.0000		3961.926		2.343		0.055		0.574898		1.400
0.024		0.1183		0.0000		3961.922		2.346		0.060		0.591421		1.440
0.024		0.1215		0.0000		3961.919		2.349		0.060		0.607257		1.480
0.024		0.1246		0.0000		3961.916		2.353		0.060		0.623093		1.520
0.026		0.1279		0.0000		3961.913		2.356		0.065		0.639616		1.560
0.026		0.1315		0.0000		3961.909		2.359		0.065		0.657517		1.600
0.026		0.1352		0.0000		3961.905		2.363		0.065		0.676106		1.640
0.028		0.1388		0.0000		3961.902		2.367		0.070		0.694008		1.680
0.028		0.1420		0.0000		3961.899		2.370		0.070		0.709844		1.720
0.030		0.1451		0.0000		3961.896		2.373		0.075		0.725678		1.760
0.032		0.1484		0.0000		3961.892		2.376		0.080		0.742203		1.800
0.032		0.1516		0.0000		3961.889		2.380		0.080		0.758038		1.840
0.034		0.1548		0.0000		3961.886		2.383		0.085		0.773873		1.880
0.034		0.1581		0.0000		3961.883		2.386		0.085		0.790398		1.920
0.036		0.1614		0.0000		3961.879		2.389		0.090		0.806922		1.960
0.038		0.1648		0.0000		3961.876		2.393		0.095		0.824134		2.000
