数据量:1093
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0000		0.0000		3961.992		2.571		0.025		0.000000		0.040
0.010		0.0032		0.0000		3961.989		2.575		0.025		0.015836		0.080
0.012		0.0063		0.0000		3961.986		2.578		0.030		0.031672		0.120
0.012		0.0096		0.0000		3961.982		2.581		0.030		0.048195		0.160
0.014		0.0132		0.0000		3961.979		2.585		0.035		0.066097		0.200
0.016		0.0168		0.0000		3961.975		2.588		0.040		0.083997		0.240
0.018		0.0205		0.0000		3961.971		2.592		0.045		0.102587		0.280
0.018		0.0237		0.0000		3961.968		2.595		0.045		0.118423		0.320
0.020		0.0269		0.0000		3961.965		2.598		0.050		0.134258		0.360
0.022		0.0300		0.0000		3961.962		2.601		0.055		0.150094		0.400
0.024		0.0333		0.0000		3961.958		2.605		0.060		0.166618		0.440
0.026		0.0365		0.0000		3961.955		2.608		0.065		0.182453		0.480
0.028		0.0398		0.0000		3961.952		2.611		0.070		0.198977		0.520
0.030		0.0431		0.0000		3961.949		2.615		0.075		0.215501		0.560
0.032		0.0464		0.0000		3961.945		2.618		0.080		0.232025		0.600
0.036		0.0501		0.0000		3961.942		2.622		0.090		0.250615		0.640
0.038		0.0537		0.0000		3961.938		2.625		0.095		0.268515		0.680
0.042		0.0570		0.0000		3961.935		2.628		0.105		0.285040		0.720
0.044		0.0603		0.0000		3961.931		2.632		0.110		0.301564		0.760
0.048		0.0635		0.0000		3961.928		2.635		0.120		0.317400		0.800
0.052		0.0668		0.0000		3961.925		2.638		0.130		0.333923		0.840
0.054		0.0700		0.0000		3961.922		2.641		0.135		0.349759		0.880
0.058		0.0731		0.0000		3961.919		2.645		0.145		0.365595		0.920
0.062		0.0764		0.0000		3961.915		2.648		0.155		0.382118		0.960
0.066		0.0797		0.0000		3961.912		2.651		0.165		0.398642		1.000
0.070		0.0833		0.0000		3961.908		2.655		0.175		0.416543		1.040
0.076		0.0870		0.0000		3961.905		2.658		0.190		0.435133		1.080
0.080		0.0905		0.0000		3961.901		2.662		0.200		0.452346		1.120
0.086		0.0936		0.0000		3961.898		2.665		0.215		0.468180		1.160
0.092		0.0968		0.0000		3961.895		2.668		0.230		0.484016		1.200
0.096		0.1001		0.0000		3961.892		2.672		0.240		0.500540		1.240
0.102		0.1033		0.0000		3961.888		2.675		0.255		0.516375		1.280
0.108		0.1066		0.0000		3961.885		2.678		0.270		0.532900		1.320
0.114		0.1097		0.0000		3961.882		2.681		0.285		0.548735		1.360
