数据量:1050
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0030		0.0000		876.940		2.760		0.025		0.015148		0.040
0.010		0.0065		0.0000		876.936		2.763		0.025		0.032361		0.080
0.012		0.0098		0.0000		876.933		2.767		0.030		0.048884		0.120
0.012		0.0129		0.0000		876.930		2.770		0.030		0.064720		0.160
0.014		0.0161		0.0000		876.926		2.773		0.035		0.080554		0.200
0.016		0.0194		0.0000		876.923		2.776		0.040		0.097079		0.240
0.016		0.0226		0.0000		876.920		2.779		0.040		0.112915		0.280
0.018		0.0259		0.0000		876.917		2.783		0.045		0.129439		0.320
0.020		0.0291		0.0000		876.914		2.786		0.050		0.145274		0.360
0.022		0.0326		0.0000		876.910		2.789		0.055		0.163175		0.400
0.024		0.0362		0.0000		876.906		2.793		0.060		0.181077		0.440
0.026		0.0399		0.0000		876.903		2.797		0.065		0.199666		0.480
0.028		0.0431		0.0000		876.899		2.800		0.070		0.215501		0.520
0.032		0.0463		0.0000		876.896		2.803		0.080		0.231336		0.560
0.034		0.0496		0.0000		876.893		2.806		0.085		0.247860		0.600
0.036		0.0527		0.0000		876.890		2.809		0.090		0.263696		0.640
0.040		0.0560		0.0000		876.887		2.813		0.100		0.280221		0.680
0.044		0.0592		0.0000		876.883		2.816		0.110		0.296055		0.720
0.048		0.0625		0.0000		876.880		2.819		0.120		0.312580		0.760
0.052		0.0658		0.0000		876.877		2.823		0.130		0.329103		0.800
0.056		0.0695		0.0000		876.873		2.826		0.140		0.347693		0.840
0.060		0.0731		0.0000		876.869		2.830		0.150		0.365593		0.880
0.066		0.0764		0.0000		876.866		2.833		0.165		0.382118		0.920
0.072		0.0797		0.0000		876.863		2.836		0.180		0.398642		0.960
0.078		0.0829		0.0000		876.860		2.840		0.195		0.414478		1.000
0.084		0.0862		0.0000		876.856		2.843		0.210		0.431001		1.040
0.090		0.0894		0.0000		876.853		2.846		0.225		0.446837		1.080
0.096		0.0927		0.0000		876.850		2.849		0.240		0.463361		1.120
0.104		0.0958		0.0000		876.847		2.853		0.260		0.479196		1.160
0.110		0.0991		0.0000		876.843		2.856		0.275		0.495720		1.200
0.118		0.1027		0.0000		876.840		2.859		0.295		0.513622		1.240
0.126		0.1064		0.0000		876.836		2.863		0.315		0.532211		1.280
0.136		0.1099		0.0000		876.833		2.867		0.340		0.549424		1.320
0.144		0.1131		0.0000		876.830		2.870		0.360		0.565259		1.360
0.154		0.1164		0.0000		876.826		2.873		0.385		0.581783		1.400
0.162		0.1195		0.0000		876.823		2.876		0.405		0.597619		1.440
0.172		0.1228		0.0000		876.820		2.880		0.430		0.614142		1.480
0.180		0.1260		0.0000		876.817		2.883		0.450		0.629978		1.520
0.190		0.1293		0.0000		876.813		2.886		0.475		0.646502		1.560
0.200		0.1325		0.0000		876.810		2.889		0.500		0.662338		1.600
0.210		0.1360		0.0000		876.807		2.893		0.525		0.680238		1.640
0.220		0.1396		0.0000		876.803		2.896		0.550		0.698140		1.680
0.232		0.1432		0.0000		876.799		2.900		0.580		0.716040		1.720
0.244		0.1465		0.0000		876.796		2.903		0.610		0.732565		1.760
0.256		0.1497		0.0000		876.793		2.906		0.640		0.748399		1.800
0.268		0.1530		0.0000		876.790		2.910		0.670		0.764924		1.840
0.280		0.1562		0.0000		876.786		2.913		0.700		0.780760		1.880
0.290		0.1595		0.0000		876.783		2.916		0.725		0.797284		1.920
0.302		0.1626		0.0000		876.780		2.919		0.755		0.813119		1.960
0.314		0.1658		0.0000		876.777		2.923		0.785		0.828954		2.000
0.326		0.1692		0.0000		876.773		2.926		0.815		0.846167		2.040
0.338		0.1730		0.0000		876.770		2.930		0.845		0.864756		2.080
0.350		0.1767		0.0000		876.766		2.933		0.875		0.883346		2.120
0.364		0.1798		0.0000		876.763		2.937		0.910		0.899181		2.160
0.380		0.1831		0.0000		876.759		2.940		0.950		0.915705		2.200
0.396		0.1863		0.0000		876.756		2.943		0.990		0.931541		2.240
0.412		0.1896		0.0000		876.753		2.946		1.030		0.948066		2.280
0.430		0.1928		0.0000		876.750		2.950		1.075		0.963900		2.320
0.446		0.1961		0.0000		876.747		2.953		1.115		0.980425		2.360
0.462		0.1993		0.0000		876.743		2.956		1.155		0.996259		2.400
0.478		0.2026		0.0000		876.740		2.959		1.195		1.012784		2.440
0.496		0.2061		0.0000		876.736		2.963		1.240		1.030685		2.480
0.514		0.2099		0.0000		876.733		2.967		1.285		1.049274		2.520
0.532		0.2133		0.0000		876.729		2.970		1.330		1.066487		2.560
0.552		0.2165		0.0000		876.726		2.973		1.380		1.082323		2.600
0.570		0.2198		0.0000		876.723		2.977		1.425		1.098846		2.640
0.586		0.2229		0.0000		876.720		2.980		1.465		1.114682		2.680
0.604		0.2262		0.0000		876.716		2.983		1.510		1.131206		2.720
0.620		0.2294		0.0000		876.713		2.986		1.550		1.147041		2.760
0.636		0.2326		0.0000		876.710		2.989		1.590		1.162877		2.800
0.650		0.2359		0.0000		876.707		2.993		1.625		1.179401		2.840
0.664		0.2395		0.0000		876.703		2.996		1.660		1.197302		2.880
0.678		0.2430		0.0000		876.700		3.000		1.695		1.215203		2.920
0.694		0.2468		0.0000		876.696		3.004		1.735		1.233792		2.960
0.712		0.2499		0.0000		876.693		3.007		1.780		1.249628		3.000
0.730		0.2531		0.0000		876.690		3.010		1.825		1.265464		3.040
0.748		0.2564		0.0000		876.686		3.013		1.870		1.281987		3.080
0.766		0.2596		0.0000		876.683		3.016		1.915		1.297823		3.120
0.784		0.2629		0.0000		876.680		3.020		1.960		1.314347		3.160
0.802		0.2660		0.0000		876.677		3.023		2.005		1.330183		3.200
0.820		0.2693		0.0000		876.673		3.026		2.050		1.346706		3.240
0.838		0.2726		0.0000		876.670		3.029		2.095		1.363231		3.280
0.858		0.2764		0.0000		876.666		3.033		2.145		1.381820		3.320
0.878		0.2799		0.0000		876.663		3.037		2.195		1.399721		3.360
0.900		0.2832		0.0000		876.659		3.040		2.250		1.416245		3.400
0.922		0.2866		0.0000		876.656		3.043		2.305		1.432769		3.440
0.944		0.2897		0.0000		876.653		3.046		2.360		1.448605		3.480
0.964		0.2930		0.0000		876.650		3.050		2.410		1.465129		3.520
0.984		0.2962		0.0000		876.646		3.053		2.460		1.480964		3.560
1.006		0.2995		0.0000		876.643		3.056		2.515		1.497488		3.600
1.026		0.3027		0.0000		876.640		3.059		2.565		1.513324		3.640
1.046		0.3061		0.0000		876.636		3.063		2.615		1.530536		3.680
1.068		0.3095		0.0000		876.633		3.066		2.670		1.547749		3.720
1.090		0.3133		0.0000		876.629		3.070		2.725		1.566339		3.760
1.114		0.3167		0.0000		876.626		3.073		2.785		1.583550		3.800
1.140		0.3199		0.0000		876.623		3.077		2.850		1.599386		3.840
1.162		0.3230		0.0000		876.620		3.080		2.905		1.615222		3.880
1.186		0.3263		0.0000		876.616		3.083		2.965		1.631745		3.920
1.208		0.3297		0.0000		876.613		3.086		3.020		1.648270		3.960
1.232		0.3328		0.0000		876.610		3.090		3.080		1.664104		4.000
1.258		0.3360		0.0000		876.607		3.093		3.145		1.679940		4.040
1.282		0.3393		0.0000		876.603		3.096		3.205		1.696465		4.080
1.308		0.3427		0.0000		876.600		3.099		3.270		1.713676		4.120
1.334		0.3465		0.0000		876.596		3.103		3.335		1.732266		4.160
1.362		0.3500		0.0000		876.593		3.107		3.405		1.750168		4.200
1.392		0.3533		0.0000		876.589		3.110		3.480		1.766691		4.240
1.420		0.3566		0.0000		876.586		3.113		3.550		1.783216		4.280
1.446		0.3597		0.0000		876.583		3.116		3.615		1.798363		4.320
1.472		0.3630		0.0000		876.580		3.120		3.680		1.814886		4.360
1.500		0.3663		0.0000		876.576		3.123		3.750		1.831410		4.400
1.526		0.3694		0.0000		876.573		3.126		3.815		1.847246		4.440
1.554		0.3726		0.0000		876.570		3.129		3.885		1.863081		4.480
1.580		0.3761		0.0000		876.567		3.133		3.950		1.880294		4.520
1.608		0.3798		0.0000		876.563		3.137		4.020		1.898884		4.560
1.638		0.3835		0.0000		876.559		3.140		4.095		1.917473		4.600
1.670		0.3868		0.0000		876.556		3.144		4.175		1.933997		4.640
1.702		0.3900		0.0000		876.553		3.147		4.255		1.949832		4.680
1.730		0.3931		0.0000		876.549		3.150		4.325		1.965668		4.720
1.756		0.3963		0.0000		876.546		3.153		4.390		1.981504		4.760
1.784		0.3996		0.0000		876.543		3.156		4.460		1.998028		4.800
1.812		0.4028		0.0000		876.540		3.160		4.530		2.013863		4.840
1.840		0.4061		0.0000		876.536		3.163		4.600		2.030387		4.880
1.868		0.4094		0.0000		876.533		3.166		4.670		2.046911		4.920
1.896		0.4130		0.0000		876.530		3.170		4.740		2.064812		4.960
1.924		0.4167		0.0000		876.526		3.173		4.810		2.083402		5.000
1.956		0.4201		0.0000		876.522		3.177		4.890		2.100614		5.040
1.990		0.4233		0.0000		876.519		3.180		4.975		2.116450		5.080
2.020		0.4266		0.0000		876.516		3.183		5.050		2.132974		5.120
2.046		0.4298		0.0000		876.513		3.187		5.115		2.148809		5.160
2.074		0.4331		0.0000		876.510		3.190		5.185		2.165333		5.200
2.104		0.4362		0.0000		876.506		3.193		5.260		2.181169		5.240
2.132		0.4394		0.0000		876.503		3.196		5.330		2.197005		5.280
2.160		0.4426		0.0000		876.500		3.199		5.400		2.212839		5.320
2.188		0.4461		0.0000		876.496		3.203		5.470		2.230741		5.360
2.218		0.4500		0.0000		876.493		3.207		5.545		2.250018		5.400
2.252		0.4536		0.0000		876.489		3.210		5.630		2.267920		5.440
2.286		0.4568		0.0000		876.486		3.214		5.715		2.283756		5.480
2.318		0.4599		0.0000		876.483		3.217		5.795		2.299590		5.520
2.346		0.4631		0.0000		876.479		3.220		5.865		2.315426		5.560
2.374		0.4664		0.0000		876.476		3.223		5.935		2.331949		5.600
2.402		0.4696		0.0000		876.473		3.226		6.005		2.347785		5.640
2.432		0.4729		0.0000		876.470		3.230		6.080		2.364310		5.680
2.460		0.4760		0.0000		876.467		3.233		6.150		2.380145		5.720
2.488		0.4795		0.0000		876.463		3.236		6.220		2.397357		5.760
2.518		0.4832		0.0000		876.459		3.240		6.295		2.415947		5.800
2.548		0.4868		0.0000		876.456		3.244		6.370		2.433848		5.840
2.582		0.4901		0.0000		876.453		3.247		6.455		2.450372		5.880
2.616		0.4934		0.0000		876.449		3.250		6.540		2.466896		5.920
2.646		0.4965		0.0000		876.446		3.253		6.615		2.482731		5.960
2.674		0.4999		0.0000		876.443		3.257		6.685		2.499255		6.000
2.702		0.5030		0.0000		876.440		3.260		6.755		2.515091		6.040
2.730		0.5063		0.0000		876.436		3.263		6.825		2.531615		6.080
2.758		0.5094		0.0000		876.433		3.266		6.895		2.546762		6.120
2.786		0.5127		0.0000		876.430		3.269		6.965		2.563286		6.160
2.816		0.5164		0.0000		876.426		3.273		7.040		2.581875		6.200
2.846		0.5202		0.0000		876.422		3.277		7.115		2.601154		6.240
2.880		0.5235		0.0000		876.419		3.280		7.200		2.617677		6.280
2.914		0.5267		0.0000		876.416		3.283		7.285		2.633513		6.320
2.944		0.5299		0.0000		876.413		3.287		7.360		2.649349		6.360
2.970		0.5332		0.0000		876.409		3.290		7.425		2.665873		6.400
2.998		0.5365		0.0000		876.406		3.293		7.495		2.682396		6.440
3.028		0.5396		0.0000		876.403		3.296		7.570		2.698232		6.480
3.056		0.5428		0.0000		876.400		3.300		7.640		2.714068		6.520
3.084		0.5461		0.0000		876.396		3.303		7.710		2.730591		6.560
3.112		0.5497		0.0000		876.393		3.306		7.780		2.748493		6.600
3.142		0.5534		0.0000		876.389		3.310		7.855		2.767082		6.640
3.174		0.5570		0.0000		876.386		3.314		7.935		2.784983		6.680
3.208		0.5602		0.0000		876.382		3.317		8.020		2.800819		6.720
3.240		0.5633		0.0000		876.379		3.320		8.100		2.816654		6.760
3.266		0.5666		0.0000		876.376		3.323		8.165		2.833178		6.800
3.294		0.5698		0.0000		876.373		3.327		8.235		2.849014		6.840
3.322		0.5730		0.0000		876.370		3.330		8.305		2.864850		6.880
3.350		0.5761		0.0000		876.366		3.333		8.375		2.880684		6.920
3.378		0.5794		0.0000		876.363		3.336		8.445		2.897209		6.960
3.406		0.5829		0.0000		876.360		3.340		8.515		2.914422		7.000
3.434		0.5866		0.0000		876.356		3.343		8.585		2.933011		7.040
3.464		0.5903		0.0000		876.352		3.347		8.660		2.951601		7.080
3.498		0.5936		0.0000		876.349		3.350		8.745		2.968124		7.120
3.530		0.5968		0.0000		876.346		3.354		8.825		2.983960		7.160
3.558		0.6000		0.0000		876.343		3.357		8.895		2.999794		7.200
3.584		0.6033		0.0000		876.339		3.360		8.960		3.016319		7.240
3.610		0.6064		0.0000		876.336		3.363		9.025		3.032155		7.280
3.638		0.6096		0.0000		876.333		3.366		9.095		3.047990		7.320
3.666		0.6128		0.0000		876.330		3.370		9.165		3.063825		7.360
3.692		0.6162		0.0000		876.326		3.373		9.230		3.081038		7.400
3.720		0.6199		0.0000		876.323		3.377		9.300		3.099627		7.440
3.748		0.6235		0.0000		876.319		3.380		9.370		3.117528		7.480
3.780		0.6269		0.0000		876.316		3.384		9.450		3.134741		7.520
3.812		0.6303		0.0000		876.312		3.387		9.530		3.151265		7.560
3.840		0.6333		0.0000		876.309		3.390		9.600		3.166412		7.600
3.866		0.6367		0.0000		876.306		3.393		9.665		3.183625		7.640
3.892		0.6398		0.0000		876.303		3.397		9.730		3.198771		7.680
3.918		0.6431		0.0000		876.299		3.400		9.795		3.215295		7.720
3.944		0.6462		0.0000		876.296		3.403		9.860		3.231131		7.760
3.968		0.6494		0.0000		876.293		3.406		9.920		3.246967		7.800
3.994		0.6530		0.0000		876.290		3.410		9.985		3.264867		7.840
4.020		0.6568		0.0000		876.286		3.414		10.050		3.284146		7.880
4.050		0.6604		0.0000		876.282		3.417		10.125		3.302046		7.920
4.082		0.6637		0.0000		876.279		3.420		10.205		3.318571		7.960
4.108		0.6666		0.0000		876.276		3.423		10.270		3.333029		8.000
4.132		0.6699		0.0000		876.273		3.427		10.330		3.349553		8.040
4.156		0.6732		0.0000		876.269		3.430		10.390		3.366077		8.080
4.180		0.6764		0.0000		876.266		3.433		10.450		3.381913		8.120
4.204		0.6797		0.0000		876.263		3.436		10.510		3.398436		8.160
4.228		0.6829		0.0000		876.260		3.440		10.570		3.414272		8.200
4.252		0.6863		0.0000		876.256		3.443		10.630		3.431485		8.240
4.276		0.6900		0.0000		876.253		3.447		10.690		3.450074		8.280
4.302		0.6937		0.0000		876.249		3.450		10.755		3.468664		8.320
4.330		0.6969		0.0000		876.246		3.454		10.825		3.484499		8.360
4.356		0.7002		0.0000		876.242		3.457		10.890		3.501023		8.400
4.380		0.7034		0.0000		876.239		3.460		10.950		3.516859		8.440
4.400		0.7067		0.0000		876.236		3.463		11.000		3.533382		8.480
4.422		0.7098		0.0000		876.233		3.467		11.055		3.549218		8.520
