数据量:575
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0000		0.0000		876.975		0.587		0.025		0.000000		0.040
0.010		0.0036		0.0000		876.971		0.590		0.025		0.017901		0.080
0.010		0.0067		0.0000		876.968		0.593		0.025		0.033737		0.120
0.010		0.0099		0.0000		876.965		0.597		0.025		0.049572		0.160
0.012		0.0131		0.0000		876.962		0.600		0.030		0.065407		0.200
0.012		0.0164		0.0000		876.958		0.603		0.030		0.081931		0.240
0.014		0.0197		0.0000		876.955		0.606		0.035		0.098456		0.280
0.014		0.0229		0.0000		876.952		0.610		0.035		0.114291		0.320
0.014		0.0262		0.0000		876.948		0.613		0.035		0.130815		0.360
0.016		0.0295		0.0000		876.945		0.616		0.040		0.147339		0.400
0.016		0.0332		0.0000		876.941		0.620		0.040		0.165928		0.440
0.018		0.0368		0.0000		876.938		0.624		0.045		0.183829		0.480
0.020		0.0401		0.0000		876.935		0.627		0.050		0.200354		0.520
0.022		0.0434		0.0000		876.931		0.630		0.055		0.216877		0.560
0.024		0.0465		0.0000		876.928		0.633		0.060		0.232713		0.600
0.026		0.0498		0.0000		876.925		0.637		0.065		0.249237		0.640
0.030		0.0530		0.0000		876.922		0.640		0.075		0.265072		0.680
0.032		0.0562		0.0000		876.918		0.643		0.080		0.280908		0.720
0.036		0.0595		0.0000		876.915		0.646		0.090		0.297432		0.760
0.040		0.0628		0.0000		876.912		0.650		0.100		0.313956		0.800
0.042		0.0664		0.0000		876.908		0.653		0.105		0.331857		0.840
0.048		0.0701		0.0000		876.905		0.657		0.120		0.350446		0.880
0.052		0.0735		0.0000		876.901		0.660		0.130		0.367659		0.920
0.056		0.0767		0.0000		876.898		0.663		0.140		0.383494		0.960
0.060		0.0799		0.0000		876.895		0.667		0.150		0.399330		1.000
0.066		0.0832		0.0000		876.891		0.670		0.165		0.415854		1.040
0.070		0.0863		0.0000		876.888		0.673		0.175		0.431689		1.080
0.076		0.0896		0.0000		876.885		0.676		0.190		0.448214		1.120
0.080		0.0928		0.0000		876.882		0.680		0.200		0.464049		1.160
0.086		0.0961		0.0000		876.879		0.683		0.215		0.480573		1.200
0.092		0.0997		0.0000		876.875		0.686		0.230		0.498474		1.240
0.100		0.1033		0.0000		876.871		0.690		0.250		0.516375		1.280
0.108		0.1069		0.0000		876.868		0.694		0.270		0.534276		1.320
0.116		0.1102		0.0000		876.865		0.697		0.290		0.550800		1.360
0.122		0.1133		0.0000		876.861		0.700		0.305		0.566635		1.400
0.130		0.1165		0.0000		876.858		0.703		0.325		0.582471		1.440
0.138		0.1198		0.0000		876.855		0.707		0.345		0.598995		1.480
0.144		0.1231		0.0000		876.852		0.710		0.360		0.615519		1.520
0.152		0.1263		0.0000		876.848		0.713		0.380		0.631354		1.560
0.160		0.1294		0.0000		876.845		0.716		0.400		0.647190		1.600
