数据量:915
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		876.998		2.173		0.025		0.009639		0.040
0.010		0.0052		0.0000		876.995		2.176		0.025		0.026163		0.080
0.010		0.0084		0.0000		876.992		2.179		0.025		0.041999		0.120
0.010		0.0117		0.0000		876.989		2.183		0.025		0.058522		0.160
0.010		0.0149		0.0000		876.985		2.186		0.025		0.074358		0.200
0.010		0.0180		0.0000		876.982		2.189		0.025		0.090194		0.240
0.012		0.0216		0.0000		876.979		2.192		0.030		0.108094		0.280
0.012		0.0252		0.0000		876.975		2.196		0.030		0.125996		0.320
0.012		0.0289		0.0000		876.971		2.200		0.030		0.144585		0.360
0.014		0.0322		0.0000		876.968		2.203		0.035		0.161109		0.400
0.014		0.0354		0.0000		876.965		2.206		0.035		0.176945		0.440
0.014		0.0386		0.0000		876.962		2.209		0.035		0.192780		0.480
0.016		0.0419		0.0000		876.958		2.213		0.040		0.209304		0.520
0.016		0.0450		0.0000		876.955		2.216		0.040		0.225140		0.560
0.018		0.0482		0.0000		876.952		2.219		0.045		0.240976		0.600
0.018		0.0515		0.0000		876.949		2.222		0.045		0.257499		0.640
0.020		0.0549		0.0000		876.945		2.226		0.050		0.274712		0.680
0.020		0.0585		0.0000		876.942		2.229		0.050		0.292612		0.720
0.022		0.0622		0.0000		876.938		2.233		0.055		0.311202		0.760
0.024		0.0655		0.0000		876.935		2.236		0.060		0.327727		0.800
0.026		0.0687		0.0000		876.932		2.240		0.065		0.343561		0.840
0.026		0.0719		0.0000		876.928		2.243		0.065		0.359397		0.880
0.028		0.0752		0.0000		876.925		2.246		0.070		0.375921		0.920
0.030		0.0785		0.0000		876.922		2.249		0.075		0.392445		0.960
0.032		0.0817		0.0000		876.919		2.252		0.080		0.408281		1.000
0.032		0.0848		0.0000		876.916		2.256		0.080		0.424116		1.040
0.036		0.0881		0.0000		876.912		2.259		0.090		0.440640		1.080
0.038		0.0918		0.0000		876.909		2.263		0.095		0.459230		1.120
0.040		0.0956		0.0000		876.905		2.266		0.100		0.477819		1.160
0.044		0.0990		0.0000		876.901		2.270		0.110		0.495032		1.200
0.048		0.1022		0.0000		876.898		2.273		0.120		0.510867		1.240
0.052		0.1053		0.0000		876.895		2.276		0.130		0.526702		1.280
0.056		0.1086		0.0000		876.892		2.279		0.140		0.543226		1.320
0.060		0.1118		0.0000		876.889		2.283		0.150		0.559062		1.360
0.064		0.1150		0.0000		876.885		2.286		0.160		0.574898		1.400
0.068		0.1183		0.0000		876.882		2.289		0.170		0.591421		1.440
0.072		0.1216		0.0000		876.879		2.292		0.180		0.607946		1.480
0.078		0.1250		0.0000		876.875		2.296		0.195		0.625159		1.520
0.084		0.1287		0.0000		876.872		2.300		0.210		0.643748		1.560
0.090		0.1323		0.0000		876.868		2.303		0.225		0.661649		1.600
0.096		0.1355		0.0000		876.865		2.306		0.240		0.677484		1.640
