数据量:1687
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0033		0.0000		3961.864		1.194		0.025		0.016524		0.040
0.012		0.0065		0.0000		3961.861		1.197		0.030		0.032359		0.080
0.014		0.0098		0.0000		3961.858		1.200		0.035		0.048884		0.120
0.016		0.0129		0.0000		3961.855		1.204		0.040		0.064719		0.160
0.020		0.0162		0.0000		3961.851		1.207		0.050		0.081243		0.200
0.022		0.0194		0.0000		3961.848		1.210		0.055		0.097078		0.240
0.024		0.0226		0.0000		3961.845		1.213		0.060		0.112914		0.280
0.028		0.0260		0.0000		3961.842		1.217		0.070		0.130126		0.320
0.032		0.0297		0.0000		3961.838		1.220		0.080		0.148716		0.360
0.036		0.0335		0.0000		3961.834		1.224		0.090		0.167305		0.400
0.040		0.0366		0.0000		3961.831		1.227		0.100		0.183141		0.440
0.044		0.0399		0.0000		3961.828		1.231		0.110		0.199665		0.480
0.048		0.0431		0.0000		3961.824		1.234		0.120		0.215501		0.520
0.054		0.0463		0.0000		3961.821		1.237		0.135		0.231336		0.560
0.058		0.0496		0.0000		3961.818		1.240		0.145		0.247860		0.600
0.064		0.0529		0.0000		3961.815		1.244		0.160		0.264384		0.640
0.070		0.0560		0.0000		3961.812		1.247		0.175		0.280219		0.680
0.074		0.0593		0.0000		3961.808		1.250		0.185		0.296744		0.720
0.082		0.0631		0.0000		3961.805		1.254		0.205		0.315333		0.760
0.088		0.0666		0.0000		3961.801		1.257		0.220		0.333234		0.800
0.096		0.0701		0.0000		3961.798		1.261		0.240		0.350446		0.840
0.104		0.0733		0.0000		3961.794		1.264		0.260		0.366282		0.880
0.112		0.0764		0.0000		3961.791		1.267		0.280		0.382117		0.920
0.120		0.0797		0.0000		3961.788		1.270		0.300		0.398641		0.960
0.130		0.0830		0.0000		3961.785		1.274		0.325		0.415165		1.000
0.138		0.0862		0.0000		3961.781		1.277		0.345		0.431001		1.040
0.150		0.0894		0.0000		3961.778		1.280		0.375		0.446836		1.080
0.160		0.0927		0.0000		3961.775		1.283		0.400		0.463361		1.120
0.172		0.0963		0.0000		3961.771		1.287		0.430		0.481261		1.160
0.184		0.1000		0.0000		3961.768		1.291		0.460		0.499851		1.200
0.198		0.1034		0.0000		3961.764		1.294		0.495		0.517063		1.240
0.212		0.1067		0.0000		3961.761		1.297		0.530		0.533587		1.280
0.226		0.1099		0.0000		3961.758		1.301		0.565		0.549423		1.320
0.238		0.1131		0.0000		3961.755		1.304		0.595		0.565258		1.360
0.252		0.1164		0.0000		3961.751		1.307		0.630		0.581782		1.400
0.266		0.1195		0.0000		3961.748		1.310		0.665		0.597618		1.440
0.278		0.1228		0.0000		3961.745		1.314		0.695		0.614142		1.480
0.292		0.1261		0.0000		3961.741		1.317		0.730		0.630666		1.520
0.306		0.1296		0.0000		3961.738		1.320		0.765		0.647878		1.560
0.320		0.1332		0.0000		3961.735		1.324		0.800		0.665779		1.600
0.336		0.1367		0.0000		3961.731		1.327		0.840		0.683680		1.640
0.352		0.1400		0.0000		3961.728		1.331		0.880		0.700204		1.680
0.366		0.1433		0.0000		3961.724		1.334		0.915		0.716729		1.720
0.382		0.1465		0.0000		3961.721		1.337		0.955		0.732564		1.760
0.400		0.1498		0.0000		3961.718		1.341		1.000		0.749088		1.800
0.420		0.1530		0.0000		3961.715		1.344		1.050		0.764923		1.840
0.440		0.1562		0.0000		3961.711		1.347		1.100		0.780759		1.880
0.458		0.1595		0.0000		3961.708		1.350		1.145		0.797283		1.920
0.478		0.1628		0.0000		3961.705		1.353		1.195		0.813807		1.960
0.496		0.1665		0.0000		3961.701		1.357		1.240		0.832396		2.000
0.518		0.1702		0.0000		3961.698		1.361		1.295		0.850986		2.040
0.540		0.1735		0.0000		3961.694		1.364		1.350		0.867510		2.080
0.560		0.1767		0.0000		3961.691		1.367		1.400		0.883345		2.120
0.580		0.1798		0.0000		3961.688		1.371		1.450		0.899181		2.160
0.598		0.1831		0.0000		3961.685		1.374		1.495		0.915705		2.200
0.616		0.1863		0.0000		3961.681		1.377		1.540		0.931540		2.240
0.634		0.1896		0.0000		3961.678		1.380		1.585		0.948064		2.280
0.650		0.1928		0.0000		3961.675		1.383		1.625		0.963900		2.320
0.666		0.1961		0.0000		3961.672		1.387		1.665		0.980424		2.360
0.682		0.1997		0.0000		3961.668		1.390		1.705		0.998325		2.400
0.700		0.2034		0.0000		3961.664		1.394		1.750		1.016914		2.440
0.722		0.2068		0.0000		3961.661		1.398		1.805		1.034127		2.480
0.744		0.2101		0.0000		3961.657		1.401		1.860		1.050651		2.520
0.766		0.2133		0.0000		3961.654		1.404		1.915		1.066486		2.560
0.786		0.2165		0.0000		3961.651		1.407		1.965		1.082322		2.600
0.806		0.2198		0.0000		3961.648		1.410		2.015		1.098846		2.640
0.824		0.2229		0.0000		3961.645		1.414		2.060		1.114681		2.680
0.844		0.2262		0.0000		3961.641		1.417		2.110		1.131206		2.720
0.864		0.2294		0.0000		3961.638		1.420		2.160		1.147041		2.760
0.886		0.2330		0.0000		3961.635		1.424		2.215		1.164942		2.800
0.908		0.2366		0.0000		3961.631		1.427		2.270		1.182843		2.840
0.930		0.2403		0.0000		3961.627		1.431		2.325		1.201432		2.880
0.956		0.2435		0.0000		3961.624		1.434		2.390		1.217268		2.920
0.980		0.2466		0.0000		3961.621		1.437		2.450		1.233103		2.960
1.002		0.2499		0.0000		3961.618		1.441		2.505		1.249627		3.000
1.024		0.2531		0.0000		3961.615		1.444		2.560		1.265463		3.040
1.046		0.2564		0.0000		3961.611		1.447		2.615		1.281987		3.080
1.068		0.2596		0.0000		3961.608		1.450		2.670		1.297823		3.120
1.092		0.2629		0.0000		3961.605		1.454		2.730		1.314346		3.160
1.116		0.2662		0.0000		3961.602		1.457		2.790		1.330870		3.200
1.138		0.2699		0.0000		3961.598		1.461		2.845		1.349460		3.240
1.164		0.2735		0.0000		3961.594		1.464		2.910		1.367361		3.280
1.192		0.2769		0.0000		3961.591		1.468		2.980		1.384574		3.320
1.220		0.2801		0.0000		3961.588		1.471		3.050		1.400409		3.360
1.246		0.2832		0.0000		3961.584		1.474		3.115		1.416245		3.400
1.272		0.2866		0.0000		3961.581		1.477		3.180		1.432768		3.440
1.298		0.2897		0.0000		3961.578		1.480		3.245		1.448604		3.480
1.326		0.2929		0.0000		3961.575		1.484		3.315		1.464439		3.520
1.356		0.2962		0.0000		3961.572		1.487		3.390		1.480963		3.560
1.384		0.2994		0.0000		3961.568		1.490		3.460		1.496799		3.600
1.412		0.3031		0.0000		3961.565		1.494		3.530		1.515388		3.640
1.444		0.3068		0.0000		3961.561		1.497		3.610		1.533978		3.680
