数据量:902
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0012		0.0000		876.970		2.448		0.025		0.006196		0.040
0.010		0.0044		0.0000		876.967		2.451		0.025		0.022031		0.080
0.010		0.0076		0.0000		876.963		2.455		0.025		0.037867		0.120
0.012		0.0109		0.0000		876.960		2.458		0.030		0.054392		0.160
0.012		0.0140		0.0000		876.957		2.461		0.030		0.070226		0.200
0.014		0.0174		0.0000		876.954		2.464		0.035		0.086751		0.240
0.014		0.0205		0.0000		876.951		2.468		0.035		0.102587		0.280
0.016		0.0238		0.0000		876.947		2.471		0.040		0.119110		0.320
0.016		0.0274		0.0000		876.944		2.474		0.040		0.137011		0.360
0.018		0.0310		0.0000		876.940		2.478		0.045		0.154912		0.400
0.020		0.0346		0.0000		876.936		2.482		0.050		0.172813		0.440
0.022		0.0377		0.0000		876.933		2.485		0.055		0.188649		0.480
0.024		0.0409		0.0000		876.930		2.488		0.060		0.204484		0.520
0.026		0.0442		0.0000		876.927		2.491		0.065		0.221008		0.560
0.028		0.0475		0.0000		876.924		2.495		0.070		0.237532		0.600
0.032		0.0507		0.0000		876.920		2.498		0.080		0.253367		0.640
0.034		0.0538		0.0000		876.917		2.501		0.085		0.269203		0.680
0.038		0.0571		0.0000		876.914		2.504		0.095		0.285727		0.720
0.040		0.0606		0.0000		876.910		2.508		0.100		0.302939		0.760
0.044		0.0642		0.0000		876.907		2.511		0.110		0.320841		0.800
0.048		0.0679		0.0000		876.903		2.515		0.120		0.339431		0.840
0.054		0.0712		0.0000		876.900		2.518		0.135		0.355954		0.880
0.058		0.0744		0.0000		876.897		2.521		0.145		0.371790		0.920
0.062		0.0775		0.0000		876.893		2.525		0.155		0.387626		0.960
0.068		0.0810		0.0000		876.890		2.528		0.170		0.404837		1.000
0.072		0.0841		0.0000		876.887		2.531		0.180		0.420673		1.040
0.078		0.0873		0.0000		876.884		2.534		0.195		0.436509		1.080
0.082		0.0906		0.0000		876.880		2.538		0.205		0.453032		1.120
0.088		0.0939		0.0000		876.877		2.541		0.220		0.469557		1.160
0.094		0.0975		0.0000		876.874		2.545		0.235		0.487458		1.200
0.102		0.1012		0.0000		876.870		2.548		0.255		0.506047		1.240
0.110		0.1045		0.0000		876.867		2.552		0.275		0.522571		1.280
0.118		0.1078		0.0000		876.863		2.555		0.295		0.539095		1.320
0.124		0.1110		0.0000		876.860		2.558		0.310		0.554931		1.360
0.132		0.1142		0.0000		876.857		2.561		0.330		0.570766		1.400
0.140		0.1176		0.0000		876.853		2.565		0.350		0.587978		1.440
0.150		0.1206		0.0000		876.850		2.568		0.375		0.603125		1.480
0.158		0.1239		0.0000		876.847		2.571		0.395		0.619650		1.520
0.166		0.1272		0.0000		876.844		2.574		0.415		0.636173		1.560
0.176		0.1308		0.0000		876.840		2.578		0.440		0.654075		1.600
0.186		0.1345		0.0000		876.836		2.582		0.465		0.672665		1.640
0.196		0.1380		0.0000		876.833		2.585		0.490		0.689876		1.680
0.208		0.1413		0.0000		876.830		2.588		0.520		0.706401		1.720
0.218		0.1444		0.0000		876.827		2.592		0.545		0.722237		1.760
0.228		0.1476		0.0000		876.823		2.595		0.570		0.738071		1.800
0.238		0.1508		0.0000		876.820		2.598		0.595		0.753907		1.840
0.248		0.1541		0.0000		876.817		2.601		0.620		0.770431		1.880
0.260		0.1574		0.0000		876.814		2.604		0.650		0.786955		1.920
0.270		0.1607		0.0000		876.810		2.608		0.675		0.803479		1.960
0.280		0.1641		0.0000		876.807		2.611		0.700		0.820692		2.000
0.292		0.1677		0.0000		876.803		2.615		0.730		0.838593		2.040
0.304		0.1713		0.0000		876.800		2.618		0.760		0.856494		2.080
0.316		0.1746		0.0000		876.796		2.622		0.790		0.873017		2.120
0.326		0.1778		0.0000		876.793		2.625		0.815		0.888853		2.160
0.336		0.1811		0.0000		876.790		2.628		0.840		0.905377		2.200
0.348		0.1844		0.0000		876.787		2.631		0.870		0.921901		2.240
0.358		0.1875		0.0000		876.783		2.635		0.895		0.937737		2.280
0.370		0.1907		0.0000		876.780		2.638		0.925		0.953572		2.320
0.382		0.1940		0.0000		876.777		2.641		0.955		0.970097		2.360
0.394		0.1973		0.0000		876.774		2.644		0.985		0.986620		2.400
0.408		0.2010		0.0000		876.770		2.648		1.020		1.005210		2.440
0.422		0.2046		0.0000		876.766		2.652		1.055		1.023110		2.480
0.438		0.2081		0.0000		876.763		2.655		1.095		1.040323		2.520
0.452		0.2112		0.0000		876.760		2.658		1.130		1.056159		2.560
0.466		0.2144		0.0000		876.757		2.661		1.165		1.071994		2.600
0.480		0.2177		0.0000		876.753		2.665		1.200		1.088518		2.640
0.494		0.2209		0.0000		876.750		2.668		1.235		1.104354		2.680
0.508		0.2242		0.0000		876.747		2.671		1.270		1.120877		2.720
0.524		0.2273		0.0000		876.744		2.674		1.310		1.136713		2.760
0.538		0.2306		0.0000		876.740		2.678		1.345		1.153237		2.800
0.554		0.2342		0.0000		876.737		2.681		1.385		1.171138		2.840
0.570		0.2378		0.0000		876.733		2.685		1.425		1.189039		2.880
0.588		0.2414		0.0000		876.730		2.688		1.470		1.206940		2.920
0.604		0.2447		0.0000		876.726		2.692		1.510		1.223464		2.960
0.620		0.2479		0.0000		876.723		2.695		1.550		1.239300		3.000
0.634		0.2510		0.0000		876.720		2.698		1.585		1.255136		3.040
0.648		0.2542		0.0000		876.717		2.701		1.620		1.270970		3.080
0.660		0.2576		0.0000		876.713		2.705		1.650		1.288183		3.120
0.674		0.2608		0.0000		876.710		2.708		1.685		1.304018		3.160
0.686		0.2640		0.0000		876.707		2.711		1.715		1.319854		3.200
0.698		0.2676		0.0000		876.703		2.715		1.745		1.337755		3.240
0.714		0.2710		0.0000		876.700		2.718		1.785		1.354967		3.280
0.730		0.2748		0.0000		876.696		2.722		1.825		1.374246		3.320
0.748		0.2780		0.0000		876.693		2.725		1.870		1.390082		3.360
0.766		0.2812		0.0000		876.690		2.728		1.915		1.405916		3.400
0.782		0.2845		0.0000		876.687		2.732		1.955		1.422441		3.440
0.798		0.2877		0.0000		876.683		2.735		1.995		1.438276		3.480
0.816		0.2910		0.0000		876.680		2.738		2.040		1.454800		3.520
0.832		0.2941		0.0000		876.677		2.741		2.080		1.470636		3.560
0.848		0.2973		0.0000		876.674		2.744		2.120		1.486471		3.600
0.866		0.3007		0.0000		876.670		2.748		2.165		1.503683		3.640
0.882		0.3045		0.0000		876.667		2.752		2.205		1.522273		3.680
0.900		0.3080		0.0000		876.663		2.755		2.250		1.540174		3.720
0.920		0.3115		0.0000		876.660		2.759		2.300		1.557387		3.760
0.940		0.3146		0.0000		876.656		2.762		2.350		1.573222		3.800
0.958		0.3178		0.0000		876.653		2.765		2.395		1.589057		3.840
0.976		0.3210		0.0000		876.650		2.768		2.440		1.604893		3.880
0.994		0.3243		0.0000		876.647		2.771		2.485		1.621417		3.920
1.012		0.3276		0.0000		876.643		2.775		2.530		1.637942		3.960
1.030		0.3308		0.0000		876.640		2.778		2.575		1.653776		4.000
1.050		0.3341		0.0000		876.637		2.781		2.625		1.670301		4.040
1.068		0.3376		0.0000		876.633		2.785		2.670		1.688201		4.080
1.088		0.3414		0.0000		876.630		2.788		2.720		1.706791		4.120
1.110		0.3448		0.0000		876.626		2.792		2.775		1.724004		4.160
1.134		0.3480		0.0000		876.623		2.795		2.835		1.739839		4.200
1.154		0.3513		0.0000		876.620		2.798		2.885		1.756363		4.240
1.174		0.3544		0.0000		876.617		2.802		2.935		1.772199		4.280
1.194		0.3577		0.0000		876.613		2.805		2.985		1.788722		4.320
1.216		0.3609		0.0000		876.610		2.808		3.040		1.804558		4.360
1.238		0.3642		0.0000		876.607		2.811		3.095		1.821082		4.400
1.260		0.3675		0.0000		876.604		2.815		3.150		1.837606		4.440
1.282		0.3710		0.0000		876.600		2.818		3.205		1.854819		4.480
1.306		0.3745		0.0000		876.596		2.822		3.265		1.872720		4.520
1.330		0.3781		0.0000		876.593		2.825		3.325		1.890621		4.560
1.358		0.3814		0.0000		876.590		2.828		3.395		1.907145		4.600
1.382		0.3846		0.0000		876.586		2.832		3.455		1.922981		4.640
1.406		0.3879		0.0000		876.583		2.835		3.515		1.939504		4.680
1.430		0.3911		0.0000		876.580		2.838		3.575		1.955340		4.720
1.454		0.3944		0.0000		876.577		2.841		3.635		1.971864		4.760
1.476		0.3974		0.0000		876.574		2.844		3.690		1.987010		4.800
1.500		0.4007		0.0000		876.570		2.848		3.750		2.003535		4.840
1.524		0.4041		0.0000		876.567		2.851		3.810		2.020748		4.880
1.548		0.4079		0.0000		876.563		2.855		3.870		2.039337		4.920
1.574		0.4116		0.0000		876.559		2.859		3.935		2.057927		4.960
1.602		0.4149		0.0000		876.556		2.862		4.005		2.074450		5.000
1.628		0.4181		0.0000		876.553		2.865		4.070		2.090286		5.040
1.652		0.4211		0.0000		876.550		2.868		4.130		2.105433		5.080
1.674		0.4245		0.0000		876.547		2.872		4.185		2.122645		5.120
1.698		0.4277		0.0000		876.543		2.875		4.245		2.138481		5.160
1.722		0.4310		0.0000		876.540		2.878		4.305		2.155005		5.200
1.746		0.4342		0.0000		876.537		2.881		4.365		2.170841		5.240
1.770		0.4375		0.0000		876.534		2.885		4.425		2.187364		5.280
1.794		0.4411		0.0000		876.530		2.888		4.485		2.205265		5.320
1.820		0.4448		0.0000		876.526		2.892		4.550		2.223855		5.360
1.848		0.4482		0.0000		876.523		2.895		4.620		2.241067		5.400
1.876		0.4515		0.0000		876.520		2.899		4.690		2.257591		5.440
1.902		0.4547		0.0000		876.516		2.902		4.755		2.273427		5.480
1.926		0.4579		0.0000		876.513		2.905		4.815		2.289262		5.520
1.950		0.4612		0.0000		876.510		2.908		4.875		2.305787		5.560
1.974		0.4643		0.0000		876.507		2.911		4.935		2.321621		5.600
1.998		0.4675		0.0000		876.504		2.915		4.995		2.337457		5.640
2.022		0.4708		0.0000		876.500		2.918		5.055		2.353982		5.680
2.046		0.4742		0.0000		876.497		2.921		5.115		2.371193		5.720
2.072		0.4781		0.0000		876.493		2.925		5.180		2.390472		5.760
2.100		0.4817		0.0000		876.489		2.929		5.250		2.408372		5.800
2.130		0.4848		0.0000		876.486		2.932		5.325		2.424208		5.840
2.156		0.4880		0.0000		876.483		2.935		5.390		2.440044		5.880
2.182		0.4912		0.0000		876.480		2.938		5.455		2.455879		5.920
2.204		0.4945		0.0000		876.477		2.942		5.510		2.472403		5.960
2.230		0.4978		0.0000		876.473		2.945		5.575		2.488927		6.000
2.254		0.5010		0.0000		876.470		2.948		5.635		2.504762		6.040
2.280		0.5041		0.0000		876.467		2.951		5.700		2.520598		6.080
2.304		0.5076		0.0000		876.463		2.955		5.760		2.537811		6.120
2.330		0.5113		0.0000		876.460		2.958		5.825		2.556400		6.160
2.358		0.5149		0.0000		876.456		2.962		5.895		2.574301		6.200
2.388		0.5183		0.0000		876.453		2.965		5.970		2.591513		6.240
2.418		0.5213		0.0000		876.450		2.968		6.045		2.606660		6.280
2.444		0.5246		0.0000		876.446		2.972		6.110		2.623185		6.320
2.468		0.5279		0.0000		876.443		2.975		6.170		2.639709		6.360
2.494		0.5311		0.0000		876.440		2.978		6.235		2.655544		6.400
