数据量:1021
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0019		0.0000		876.993		1.382		0.025		0.009639		0.040
0.010		0.0052		0.0000		876.990		1.385		0.025		0.026163		0.080
0.010		0.0084		0.0000		876.987		1.389		0.025		0.041999		0.120
0.010		0.0116		0.0000		876.984		1.392		0.025		0.057834		0.160
0.012		0.0150		0.0000		876.980		1.395		0.030		0.075046		0.200
0.012		0.0186		0.0000		876.977		1.399		0.030		0.092947		0.240
0.012		0.0223		0.0000		876.973		1.402		0.030		0.111537		0.280
0.014		0.0257		0.0000		876.969		1.406		0.035		0.128750		0.320
0.014		0.0289		0.0000		876.966		1.409		0.035		0.144585		0.360
0.014		0.0321		0.0000		876.963		1.412		0.035		0.160421		0.400
0.016		0.0353		0.0000		876.960		1.415		0.040		0.176256		0.440
0.016		0.0386		0.0000		876.957		1.419		0.040		0.192780		0.480
0.018		0.0417		0.0000		876.953		1.422		0.045		0.208616		0.520
0.018		0.0450		0.0000		876.950		1.425		0.045		0.225139		0.560
0.020		0.0483		0.0000		876.947		1.428		0.050		0.241663		0.600
0.020		0.0519		0.0000		876.943		1.432		0.050		0.259565		0.640
0.022		0.0556		0.0000		876.939		1.436		0.055		0.278154		0.680
0.024		0.0591		0.0000		876.936		1.439		0.060		0.295367		0.720
0.024		0.0622		0.0000		876.933		1.442		0.060		0.311202		0.760
0.026		0.0654		0.0000		876.930		1.446		0.065		0.327038		0.800
0.028		0.0687		0.0000		876.926		1.449		0.070		0.343561		0.840
0.030		0.0720		0.0000		876.923		1.452		0.075		0.360085		0.880
0.032		0.0752		0.0000		876.920		1.455		0.080		0.375921		0.920
0.034		0.0784		0.0000		876.917		1.459		0.085		0.391756		0.960
0.038		0.0817		0.0000		876.913		1.462		0.095		0.408280		1.000
0.040		0.0851		0.0000		876.910		1.465		0.100		0.425493		1.040
0.042		0.0888		0.0000		876.906		1.469		0.105		0.444083		1.080
0.046		0.0925		0.0000		876.903		1.473		0.115		0.462672		1.120
0.050		0.0957		0.0000		876.899		1.476		0.125		0.478507		1.160
0.054		0.0989		0.0000		876.896		1.479		0.135		0.494343		1.200
0.058		0.1022		0.0000		876.893		1.482		0.145		0.510867		1.240
0.062		0.1053		0.0000		876.890		1.486		0.155		0.526702		1.280
0.066		0.1085		0.0000		876.887		1.489		0.165		0.542538		1.320
0.072		0.1120		0.0000		876.883		1.492		0.180		0.559750		1.360
0.076		0.1151		0.0000		876.880		1.495		0.190		0.575586		1.400
0.082		0.1184		0.0000		876.877		1.499		0.205		0.592110		1.440
0.086		0.1221		0.0000		876.873		1.502		0.215		0.610700		1.480
0.092		0.1257		0.0000		876.869		1.506		0.230		0.628600		1.520
0.100		0.1292		0.0000		876.866		1.509		0.250		0.645813		1.560
0.106		0.1323		0.0000		876.863		1.512		0.265		0.661649		1.600
0.114		0.1355		0.0000		876.860		1.516		0.285		0.677484		1.640
0.120		0.1388		0.0000		876.856		1.519		0.300		0.694008		1.680
0.128		0.1420		0.0000		876.853		1.522		0.320		0.709844		1.720
0.136		0.1451		0.0000		876.850		1.525		0.340		0.725679		1.760
0.144		0.1484		0.0000		876.847		1.529		0.360		0.742203		1.800
0.152		0.1516		0.0000		876.843		1.532		0.380		0.758038		1.840
0.160		0.1553		0.0000		876.840		1.535		0.400		0.776628		1.880
0.170		0.1590		0.0000		876.836		1.539		0.425		0.795217		1.920
0.180		0.1625		0.0000		876.833		1.543		0.450		0.812430		1.960
0.190		0.1657		0.0000		876.829		1.546		0.475		0.828266		2.000
0.202		0.1688		0.0000		876.826		1.549		0.505		0.844101		2.040
0.210		0.1721		0.0000		876.823		1.552		0.525		0.860625		2.080
0.220		0.1753		0.0000		876.820		1.555		0.550		0.876461		2.120
0.232		0.1786		0.0000		876.816		1.559		0.580		0.892984		2.160
0.242		0.1819		0.0000		876.813		1.562		0.605		0.909508		2.200
0.254		0.1851		0.0000		876.810		1.565		0.635		0.925344		2.240
0.266		0.1885		0.0000		876.807		1.569		0.665		0.942556		2.280
0.276		0.1922		0.0000		876.803		1.572		0.690		0.961146		2.320
0.290		0.1958		0.0000		876.799		1.576		0.725		0.979047		2.360
0.302		0.1991		0.0000		876.796		1.579		0.755		0.995571		2.400
0.314		0.2023		0.0000		876.793		1.582		0.785		1.011406		2.440
0.326		0.2056		0.0000		876.789		1.586		0.815		1.027930		2.480
0.336		0.2088		0.0000		876.786		1.589		0.840		1.043766		2.520
0.346		0.2121		0.0000		876.783		1.592		0.865		1.060290		2.560
0.356		0.2152		0.0000		876.780		1.595		0.890		1.076126		2.600
0.368		0.2184		0.0000		876.777		1.599		0.920		1.091961		2.640
0.382		0.2218		0.0000		876.773		1.602		0.955		1.109173		2.680
0.396		0.2256		0.0000		876.770		1.606		0.990		1.127763		2.720
0.414		0.2293		0.0000		876.766		1.609		1.035		1.146352		2.760
0.430		0.2326		0.0000		876.763		1.613		1.075		1.162876		2.800
0.448		0.2357		0.0000		876.759		1.616		1.120		1.178712		2.840
0.462		0.2389		0.0000		876.756		1.619		1.155		1.194547		2.880
0.478		0.2421		0.0000		876.753		1.622		1.195		1.210383		2.920
0.494		0.2454		0.0000		876.750		1.626		1.235		1.226907		2.960
0.510		0.2485		0.0000		876.747		1.629		1.275		1.242743		3.000
0.526		0.2519		0.0000		876.743		1.632		1.315		1.259266		3.040
0.542		0.2552		0.0000		876.740		1.635		1.355		1.275790		3.080
0.560		0.2587		0.0000		876.736		1.639		1.400		1.293691		3.120
0.578		0.2625		0.0000		876.733		1.643		1.445		1.312281		3.160
0.596		0.2659		0.0000		876.729		1.646		1.490		1.329494		3.200
0.614		0.2691		0.0000		876.726		1.649		1.535		1.345329		3.240
0.630		0.2724		0.0000		876.723		1.653		1.575		1.361853		3.280
0.644		0.2755		0.0000		876.720		1.656		1.610		1.377689		3.320
0.656		0.2788		0.0000		876.716		1.659		1.640		1.394212		3.360
0.670		0.2820		0.0000		876.713		1.662		1.675		1.410048		3.400
0.684		0.2853		0.0000		876.710		1.665		1.710		1.426572		3.440
0.700		0.2885		0.0000		876.707		1.669		1.750		1.442407		3.480
0.718		0.2921		0.0000		876.703		1.672		1.795		1.460308		3.520
0.734		0.2958		0.0000		876.699		1.676		1.835		1.478898		3.560
0.754		0.2994		0.0000		876.696		1.680		1.885		1.496799		3.600
0.774		0.3025		0.0000		876.693		1.683		1.935		1.512634		3.640
0.792		0.3057		0.0000		876.689		1.686		1.980		1.528470		3.680
0.808		0.3089		0.0000		876.686		1.689		2.020		1.544306		3.720
0.826		0.3122		0.0000		876.683		1.692		2.065		1.560829		3.760
0.842		0.3155		0.0000		876.680		1.696		2.105		1.577353		3.800
0.860		0.3186		0.0000		876.676		1.699		2.150		1.593189		3.840
0.878		0.3219		0.0000		876.673		1.702		2.195		1.609713		3.880
0.898		0.3252		0.0000		876.670		1.705		2.245		1.626237		3.920
0.916		0.3290		0.0000		876.666		1.709		2.290		1.644827		3.960
0.936		0.3327		0.0000		876.662		1.713		2.340		1.663416		4.000
0.958		0.3359		0.0000		876.659		1.716		2.395		1.679251		4.040
0.980		0.3392		0.0000		876.656		1.719		2.450		1.695775		4.080
1.000		0.3423		0.0000		876.653		1.722		2.500		1.711611		4.120
1.020		0.3456		0.0000		876.649		1.726		2.550		1.728135		4.160
1.040		0.3488		0.0000		876.646		1.729		2.600		1.743971		4.200
1.060		0.3520		0.0000		876.643		1.732		2.650		1.759806		4.240
1.080		0.3553		0.0000		876.640		1.735		2.700		1.776330		4.280
1.102		0.3586		0.0000		876.637		1.739		2.755		1.792854		4.320
1.122		0.3623		0.0000		876.633		1.742		2.805		1.811444		4.360
1.146		0.3659		0.0000		876.629		1.746		2.865		1.829345		4.400
1.170		0.3693		0.0000		876.626		1.749		2.925		1.846557		4.440
1.196		0.3726		0.0000		876.622		1.753		2.990		1.863081		4.480
1.220		0.3758		0.0000		876.619		1.756		3.050		1.878917		4.520
1.242		0.3790		0.0000		876.616		1.759		3.105		1.894752		4.560
1.266		0.3823		0.0000		876.613		1.762		3.165		1.911276		4.600
1.290		0.3854		0.0000		876.610		1.766		3.225		1.927111		4.640
1.314		0.3887		0.0000		876.606		1.769		3.285		1.943635		4.680
1.338		0.3919		0.0000		876.603		1.772		3.345		1.959471		4.720
1.362		0.3955		0.0000		876.600		1.776		3.405		1.977372		4.760
1.386		0.3991		0.0000		876.596		1.779		3.465		1.995273		4.800
1.414		0.4026		0.0000		876.592		1.783		3.535		2.013174		4.840
1.442		0.4059		0.0000		876.589		1.786		3.605		2.029698		4.880
1.470		0.4091		0.0000		876.586		1.789		3.675		2.045534		4.920
1.498		0.4124		0.0000		876.583		1.793		3.745		2.062057		4.960
1.522		0.4156		0.0000		876.580		1.796		3.805		2.077893		5.000
1.548		0.4189		0.0000		876.576		1.799		3.870		2.094417		5.040
1.576		0.4221		0.0000		876.573		1.802		3.940		2.110252		5.080
1.602		0.4252		0.0000		876.570		1.805		4.005		2.126088		5.120
1.628		0.4287		0.0000		876.566		1.809		4.070		2.143300		5.160
1.654		0.4324		0.0000		876.563		1.813		4.135		2.161890		5.200
1.682		0.4361		0.0000		876.559		1.816		4.205		2.180479		5.240
1.714		0.4394		0.0000		876.556		1.820		4.285		2.197003		5.280
1.742		0.4424		0.0000		876.553		1.823		4.355		2.212151		5.320
1.770		0.4457		0.0000		876.549		1.826		4.425		2.228674		5.360
1.794		0.4490		0.0000		876.546		1.829		4.485		2.245198		5.400
1.820		0.4522		0.0000		876.543		1.832		4.550		2.261034		5.440
1.846		0.4555		0.0000		876.540		1.836		4.615		2.277558		5.480
1.874		0.4587		0.0000		876.536		1.839		4.685		2.293394		5.520
1.900		0.4620		0.0000		876.533		1.842		4.750		2.309917		5.560
1.926		0.4656		0.0000		876.530		1.846		4.815		2.327818		5.600
1.954		0.4694		0.0000		876.526		1.850		4.885		2.347096		5.640
1.984		0.4727		0.0000		876.522		1.853		4.960		2.363620		5.680
2.014		0.4759		0.0000		876.519		1.856		5.035		2.379456		5.720
2.044		0.4792		0.0000		876.516		1.859		5.110		2.395980		5.760
2.070		0.4824		0.0000		876.513		1.863		5.175		2.411816		5.800
2.096		0.4857		0.0000		876.509		1.866		5.240		2.428339		5.840
2.122		0.4888		0.0000		876.506		1.869		5.305		2.444175		5.880
2.150		0.4920		0.0000		876.503		1.872		5.375		2.460011		5.920
2.176		0.4953		0.0000		876.500		1.875		5.440		2.476534		5.960
2.204		0.4989		0.0000		876.496		1.879		5.510		2.494435		6.000
2.232		0.5026		0.0000		876.492		1.883		5.580		2.513025		6.040
2.264		0.5062		0.0000		876.489		1.886		5.660		2.530926		6.080
2.296		0.5094		0.0000		876.486		1.890		5.740		2.546762		6.120
2.326		0.5125		0.0000		876.483		1.893		5.815		2.562597		6.160
2.354		0.5158		0.0000		876.479		1.896		5.885		2.579121		6.200
2.380		0.5190		0.0000		876.476		1.899		5.950		2.594956		6.240
2.408		0.5223		0.0000		876.473		1.902		6.020		2.611480		6.280
2.436		0.5253		0.0000		876.470		1.905		6.090		2.626628		6.320
2.464		0.5286		0.0000		876.466		1.909		6.160		2.643151		6.360
2.490		0.5321		0.0000		876.463		1.912		6.225		2.660364		6.400
2.518		0.5358		0.0000		876.459		1.916		6.295		2.678953		6.440
2.548		0.5395		0.0000		876.456		1.920		6.370		2.697543		6.480
2.582		0.5427		0.0000		876.452		1.923		6.455		2.713379		6.520
2.614		0.5460		0.0000		876.449		1.926		6.535		2.729902		6.560
2.642		0.5491		0.0000		876.446		1.929		6.605		2.745738		6.600
2.670		0.5525		0.0000		876.443		1.933		6.675		2.762262		6.640
2.698		0.5556		0.0000		876.439		1.936		6.745		2.778097		6.680
2.726		0.5588		0.0000		876.436		1.939		6.815		2.793933		6.720
2.754		0.5621		0.0000		876.433		1.942		6.885		2.810457		6.760
2.780		0.5654		0.0000		876.430		1.946		6.950		2.826981		6.800
2.808		0.5691		0.0000		876.426		1.949		7.020		2.845571		6.840
2.838		0.5728		0.0000		876.422		1.953		7.095		2.864160		6.880
2.870		0.5761		0.0000		876.419		1.956		7.175		2.880684		6.920
2.904		0.5794		0.0000		876.416		1.960		7.260		2.897208		6.960
2.932		0.5825		0.0000		876.413		1.963		7.330		2.912355		7.000
2.960		0.5858		0.0000		876.409		1.966		7.400		2.928879		7.040
2.986		0.5891		0.0000		876.406		1.969		7.465		2.945403		7.080
3.014		0.5922		0.0000		876.403		1.972		7.535		2.961239		7.120
3.042		0.5954		0.0000		876.400		1.976		7.605		2.977074		7.160
3.070		0.5986		0.0000		876.396		1.979		7.675		2.992909		7.200
3.098		0.6022		0.0000		876.393		1.982		7.745		3.010811		7.240
