数据量:618
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0026		0.0000		877.018		1.152		0.025		0.013081		0.040
0.010		0.0059		0.0000		877.015		1.155		0.025		0.029606		0.080
0.010		0.0096		0.0000		877.011		1.159		0.025		0.048195		0.120
0.010		0.0132		0.0000		877.007		1.162		0.025		0.066096		0.160
0.012		0.0167		0.0000		877.004		1.166		0.030		0.083309		0.200
0.012		0.0198		0.0000		877.001		1.169		0.030		0.099144		0.240
0.012		0.0230		0.0000		876.997		1.172		0.030		0.114980		0.280
0.012		0.0263		0.0000		876.994		1.175		0.030		0.131503		0.320
0.014		0.0295		0.0000		876.991		1.179		0.035		0.147339		0.360
0.014		0.0326		0.0000		876.988		1.182		0.035		0.163174		0.400
0.014		0.0359		0.0000		876.985		1.185		0.035		0.179698		0.440
0.016		0.0392		0.0000		876.981		1.188		0.040		0.196223		0.480
0.016		0.0428		0.0000		876.978		1.192		0.040		0.214124		0.520
0.018		0.0465		0.0000		876.974		1.196		0.045		0.232713		0.560
0.018		0.0501		0.0000		876.970		1.199		0.045		0.250614		0.600
0.020		0.0533		0.0000		876.967		1.202		0.050		0.266449		0.640
0.020		0.0565		0.0000		876.964		1.206		0.050		0.282285		0.680
0.022		0.0596		0.0000		876.961		1.209		0.055		0.298120		0.720
0.024		0.0629		0.0000		876.958		1.212		0.060		0.314645		0.760
0.024		0.0661		0.0000		876.954		1.215		0.060		0.330480		0.800
0.026		0.0693		0.0000		876.951		1.218		0.065		0.346316		0.840
0.028		0.0726		0.0000		876.948		1.222		0.070		0.362840		0.880
0.030		0.0760		0.0000		876.945		1.225		0.075		0.380052		0.920
0.032		0.0797		0.0000		876.941		1.229		0.080		0.398641		0.960
0.034		0.0833		0.0000		876.937		1.232		0.085		0.416542		1.000
0.036		0.0866		0.0000		876.934		1.236		0.090		0.433066		1.040
0.038		0.0898		0.0000		876.931		1.239		0.095		0.448902		1.080
0.040		0.0931		0.0000		876.927		1.242		0.100		0.465426		1.120
0.042		0.0963		0.0000		876.924		1.245		0.105		0.481262		1.160
0.046		0.0996		0.0000		876.921		1.249		0.115		0.497786		1.200
0.048		0.1027		0.0000		876.918		1.252		0.120		0.513621		1.240
0.052		0.1059		0.0000		876.915		1.255		0.130		0.529457		1.280
0.054		0.1093		0.0000		876.911		1.258		0.135		0.546669		1.320
0.058		0.1129		0.0000		876.908		1.262		0.145		0.564570		1.360
0.064		0.1166		0.0000		876.904		1.266		0.160		0.583159		1.400
0.068		0.1201		0.0000		876.900		1.269		0.170		0.600372		1.440
0.074		0.1232		0.0000		876.897		1.272		0.185		0.616208		1.480
0.078		0.1263		0.0000		876.894		1.275		0.195		0.631354		1.520
0.084		0.1297		0.0000		876.891		1.279		0.210		0.648567		1.560
0.088		0.1329		0.0000		876.888		1.282		0.220		0.664402		1.600
0.094		0.1362		0.0000		876.884		1.285		0.235		0.680926		1.640
0.100		0.1394		0.0000		876.881		1.288		0.250		0.696762		1.680
0.106		0.1427		0.0000		876.878		1.292		0.265		0.713286		1.720
0.112		0.1462		0.0000		876.874		1.295		0.280		0.731187		1.760
0.118		0.1498		0.0000		876.871		1.299		0.295		0.749088		1.800
0.126		0.1534		0.0000		876.867		1.303		0.315		0.766989		1.840
0.134		0.1566		0.0000		876.864		1.306		0.335		0.782825		1.880
0.142		0.1599		0.0000		876.861		1.309		0.355		0.799348		1.920
0.148		0.1630		0.0000		876.857		1.312		0.370		0.815184		1.960
0.156		0.1662		0.0000		876.854		1.315		0.390		0.831019		2.000
0.164		0.1695		0.0000		876.851		1.319		0.410		0.847543		2.040
0.172		0.1728		0.0000		876.848		1.322		0.430		0.864068		2.080
0.180		0.1760		0.0000		876.845		1.325		0.450		0.879903		2.120
0.188		0.1794		0.0000		876.841		1.329		0.470		0.897115		2.160
0.198		0.1831		0.0000		876.837		1.332		0.495		0.915705		2.200
0.208		0.1869		0.0000		876.834		1.336		0.520		0.934294		2.240
0.218		0.1900		0.0000		876.831		1.339		0.545		0.950130		2.280
0.228		0.1932		0.0000		876.827		1.342		0.570		0.965965		2.320
0.236		0.1965		0.0000		876.824		1.346		0.590		0.982490		2.360
0.246		0.1995		0.0000		876.821		1.349		0.615		0.997636		2.400
0.256		0.2030		0.0000		876.818		1.352		0.640		1.014849		2.440
0.266		0.2061		0.0000		876.814		1.355		0.665		1.030685		2.480
0.276		0.2094		0.0000		876.811		1.359		0.690		1.047208		2.520
0.286		0.2127		0.0000		876.808		1.362		0.715		1.063733		2.560
0.296		0.2165		0.0000		876.804		1.366		0.740		1.082322		2.600
0.306		0.2200		0.0000		876.800		1.369		0.765		1.100223		2.640
0.318		0.2233		0.0000		876.797		1.372		0.795		1.116747		2.680
0.328		0.2267		0.0000		876.794		1.376		0.820		1.133271		2.720
0.338		0.2298		0.0000		876.791		1.379		0.845		1.149107		2.760
0.348		0.2331		0.0000		876.787		1.382		0.870		1.165631		2.800
0.358		0.2363		0.0000		876.784		1.385		0.895		1.181466		2.840
0.368		0.2396		0.0000		876.781		1.389		0.920		1.197990		2.880
0.380		0.2428		0.0000		876.778		1.392		0.950		1.213825		2.920
0.392		0.2461		0.0000		876.774		1.395		0.980		1.230350		2.960
0.404		0.2497		0.0000		876.771		1.399		1.010		1.248251		3.000
0.418		0.2534		0.0000		876.767		1.402		1.045		1.266840		3.040
0.432		0.2568		0.0000		876.764		1.406		1.080		1.284053		3.080
0.448		0.2600		0.0000		876.761		1.409		1.120		1.299888		3.120
0.462		0.2631		0.0000		876.757		1.412		1.155		1.315724		3.160
0.474		0.2664		0.0000		876.754		1.416		1.185		1.332247		3.200
0.488		0.2696		0.0000		876.751		1.419		1.220		1.348083		3.240
0.502		0.2729		0.0000		876.748		1.422		1.255		1.364607		3.280
0.516		0.2761		0.0000		876.744		1.425		1.290		1.380442		3.320
0.530		0.2794		0.0000		876.741		1.428		1.325		1.396967		3.360
0.544		0.2830		0.0000		876.738		1.432		1.360		1.414868		3.400
0.558		0.2866		0.0000		876.734		1.436		1.395		1.432769		3.440
0.572		0.2901		0.0000		876.730		1.439		1.430		1.450670		3.480
0.588		0.2934		0.0000		876.727		1.443		1.470		1.467193		3.520
0.604		0.2966		0.0000		876.724		1.446		1.510		1.483029		3.560
0.618		0.2999		0.0000		876.721		1.449		1.545		1.499553		3.600
0.630		0.3031		0.0000		876.717		1.452		1.575		1.515388		3.640
0.642		0.3064		0.0000		876.714		1.455		1.605		1.531913		3.680
0.654		0.3095		0.0000		876.711		1.459		1.635		1.547748		3.720
0.666		0.3127		0.0000		876.708		1.462		1.665		1.563584		3.760
0.678		0.3162		0.0000		876.704		1.465		1.695		1.580796		3.800
0.692		0.3199		0.0000		876.701		1.469		1.730		1.599386		3.840
0.708		0.3236		0.0000		876.697		1.473		1.770		1.617975		3.880
0.724		0.3268		0.0000		876.694		1.476		1.810		1.633810		3.920
0.742		0.3301		0.0000		876.690		1.479		1.855		1.650335		3.960
0.758		0.3332		0.0000		876.687		1.482		1.895		1.666170		4.000
0.772		0.3364		0.0000		876.684		1.486		1.930		1.682006		4.040
0.788		0.3397		0.0000		876.681		1.489		1.970		1.698530		4.080
0.802		0.3429		0.0000		876.678		1.492		2.005		1.714365		4.120
0.818		0.3462		0.0000		876.674		1.495		2.045		1.730889		4.160
0.834		0.3495		0.0000		876.671		1.499		2.085		1.747413		4.200
0.850		0.3531		0.0000		876.667		1.502		2.125		1.765314		4.240
