数据量:1137
试验力		变形		扩展变形		位置		位移		应力		应变		时间
0.010		0.0007		0.0000		876.887		2.444		0.025		0.003443		0.040
0.010		0.0039		0.0000		876.884		2.448		0.025		0.019279		0.080
0.010		0.0072		0.0000		876.881		2.451		0.025		0.035802		0.120
0.012		0.0105		0.0000		876.877		2.454		0.030		0.052327		0.160
0.014		0.0140		0.0000		876.874		2.458		0.035		0.070227		0.200
0.016		0.0178		0.0000		876.870		2.462		0.040		0.088817		0.240
0.018		0.0211		0.0000		876.867		2.465		0.045		0.105340		0.280
0.020		0.0244		0.0000		876.863		2.468		0.050		0.121865		0.320
0.022		0.0275		0.0000		876.860		2.471		0.055		0.137701		0.360
0.024		0.0308		0.0000		876.857		2.475		0.060		0.154225		0.400
0.026		0.0340		0.0000		876.854		2.478		0.065		0.170060		0.440
0.028		0.0373		0.0000		876.851		2.481		0.070		0.186584		0.480
0.032		0.0405		0.0000		876.847		2.484		0.080		0.202420		0.520
0.034		0.0438		0.0000		876.844		2.488		0.085		0.218943		0.560
0.038		0.0474		0.0000		876.840		2.491		0.095		0.236845		0.600
0.042		0.0509		0.0000		876.837		2.495		0.105		0.254745		0.640
0.046		0.0545		0.0000		876.833		2.498		0.115		0.272646		0.680
0.052		0.0577		0.0000		876.830		2.501		0.130		0.288482		0.720
0.056		0.0610		0.0000		876.827		2.505		0.140		0.305007		0.760
0.062		0.0642		0.0000		876.824		2.508		0.155		0.320841		0.800
0.066		0.0675		0.0000		876.820		2.511		0.165		0.337366		0.840
0.072		0.0706		0.0000		876.817		2.514		0.180		0.353200		0.880
0.078		0.0739		0.0000		876.814		2.518		0.195		0.369725		0.920
0.086		0.0771		0.0000		876.811		2.521		0.215		0.385561		0.960
0.092		0.0806		0.0000		876.807		2.524		0.230		0.402772		1.000
0.100		0.0843		0.0000		876.804		2.528		0.250		0.421362		1.040
0.108		0.0879		0.0000		876.800		2.532		0.270		0.439264		1.080
0.118		0.0912		0.0000		876.797		2.535		0.295		0.455787		1.120
0.126		0.0943		0.0000		876.794		2.538		0.315		0.471623		1.160
0.134		0.0976		0.0000		876.790		2.541		0.335		0.488147		1.200
0.144		0.1008		0.0000		876.787		2.545		0.360		0.503982		1.240
0.154		0.1041		0.0000		876.784		2.548		0.385		0.520506		1.280
0.162		0.1073		0.0000		876.781		2.551		0.405		0.536342		1.320
0.172		0.1104		0.0000		876.777		2.554		0.430		0.552177		1.360
0.182		0.1139		0.0000		876.774		2.558		0.455		0.569390		1.400
0.194		0.1175		0.0000		876.770		2.561		0.485		0.587291		1.440
0.206		0.1212		0.0000		876.767		2.565		0.515		0.605880		1.480
0.220		0.1245		0.0000		876.763		2.568		0.550		0.622405		1.520
0.234		0.1278		0.0000		876.760		2.572		0.585		0.638928		1.560
0.246		0.1310		0.0000		876.757		2.575		0.615		0.654764		1.600
0.258		0.1343		0.0000		876.754		2.578		0.645		0.671288		1.640
0.272		0.1376		0.0000		876.750		2.581		0.680		0.687811		1.680
0.284		0.1407		0.0000		876.747		2.584		0.710		0.703647		1.720
0.298		0.1439		0.0000		876.744		2.588		0.745		0.719483		1.760
0.310		0.1472		0.0000		876.741		2.591		0.775		0.736006		1.800
0.322		0.1508		0.0000		876.737		2.595		0.805		0.753908		1.840
0.334		0.1545		0.0000		876.733		2.598		0.835		0.772498		1.880
0.348		0.1579		0.0000		876.730		2.602		0.870		0.789710		1.920
0.362		0.1612		0.0000		876.727		2.605		0.905		0.806234		1.960
0.376		0.1644		0.0000		876.723		2.608		0.940		0.822070		2.000
0.388		0.1676		0.0000		876.720		2.611		0.970		0.837905		2.040
0.402		0.1709		0.0000		876.717		2.615		1.005		0.854429		2.080
0.420		0.1741		0.0000		876.714		2.618		1.050		0.870265		2.120
0.436		0.1772		0.0000		876.711		2.621		1.090		0.886101		2.160
0.452		0.1805		0.0000		876.707		2.624		1.130		0.902624		2.200
0.470		0.1840		0.0000		876.704		2.628		1.175		0.919837		2.240
0.490		0.1877		0.0000		876.700		2.631		1.225		0.938426		2.280
0.508		0.1914		0.0000		876.696		2.635		1.270		0.957016		2.320
0.528		0.1946		0.0000		876.693		2.638		1.320		0.972852		2.360
0.548		0.1977		0.0000		876.690		2.641		1.370		0.988686		2.400
0.566		0.2010		0.0000		876.687		2.645		1.415		1.005211		2.440
0.582		0.2042		0.0000		876.684		2.648		1.455		1.021045		2.480
0.600		0.2075		0.0000		876.680		2.651		1.500		1.037570		2.520
0.616		0.2107		0.0000		876.677		2.654		1.540		1.053406		2.560
0.632		0.2140		0.0000		876.674		2.658		1.580		1.069930		2.600
0.646		0.2173		0.0000		876.671		2.661		1.615		1.086453		2.640
0.660		0.2209		0.0000		876.667		2.665		1.650		1.104355		2.680
0.674		0.2246		0.0000		876.663		2.668		1.685		1.122944		2.720
0.690		0.2279		0.0000		876.660		2.672		1.725		1.139468		2.760
0.708		0.2312		0.0000		876.657		2.675		1.770		1.155992		2.800
0.724		0.2344		0.0000		876.654		2.678		1.810		1.171827		2.840
0.742		0.2377		0.0000		876.650		2.681		1.855		1.188351		2.880
0.760		0.2410		0.0000		876.647		2.685		1.900		1.204876		2.920
0.776		0.2441		0.0000		876.644		2.688		1.940		1.220711		2.960
0.794		0.2473		0.0000		876.641		2.691		1.985		1.236546		3.000
0.812		0.2506		0.0000		876.637		2.694		2.030		1.253071		3.040
0.830		0.2542		0.0000		876.634		2.698		2.075		1.270971		3.080
0.850		0.2578		0.0000		876.630		2.702		2.125		1.288873		3.120
0.872		0.2614		0.0000		876.626		2.705		2.180		1.306773		3.160
0.894		0.2645		0.0000		876.623		2.708		2.235		1.322609		3.200
